,name_used,summary
Beta-Carotene,Beta-Carotene,"RAE takes into account carotenoids' variable absorption and conversion to vitamin A by humans better than and replaces the older retinol equivalent (RE) (1 µg RE = 1 µg retinol, 6 µg β-carotene, or 12 µg α-carotene or β-cryptoxanthin).
Unfortunately, food and supplement labels still generally use IU, but IU can be converted to the more useful retinol activity equivalent as follows:Sunless tanning with beta-carotene
Therefore, β-carotene is considered a safe source of vitamin A and high intakes will not lead to hypervitaminosis A.USDA Webpage on β-carotene Content of Gac – Fatty Acids and Carotenoids in Gac (Momordica Cochinchinensis Spreng) Fruit.Chronic high doses of β-carotene supplementation increases the probability of lung cancer in smokers."
Bifidobacteria,Bifidobacteria,"Different species and/or strains of bifidobacteria may exert a range of beneficial health effects, including the regulation of intestinal microbial homeostasis, the inhibition of pathogens and harmful bacteria that colonize and/or infect the gut mucosa, the modulation of local and systemic immune responses, the repression of procarcinogenic enzymatic activities within the microbiota, the production of vitamins, and the bioconversion of a number of dietary compounds into bioactive molecules.
Therefore, when mother's milk is fermented by lactic acid bacteria (including bifidobacteria) in the infant's gastrointestinal tract, the pH may be reduced, making it more difficult for Gram-negative bacteria to grow.Members of the genus Bifidobacterium have genome sizes ranging from 1.73 (Bifidobacterium indicum) to 3.25 Mb (Bifidobacterium biavatii), corresponding to 1,352 and 2,557 predicted protein-encoding open reading frames, respectively.Functional classification of Bifidobacterium genes, including the pan-genome of this genus, revealed that 13.7% of the identified bifidobacterial genes encode enzymes involved in carbohydrate metabolism.In 1899, Henri Tissier, a French pediatrician at the Pasteur Institute in Paris, isolated a bacterium characterised by a Y-shaped morphology (""bifid"") in the intestinal microbiota of breast-fed infants and named it ""bifidus""."
Biotin,Biotin,"To circumvent this problem, beads conjugated to monomeric avidin can be used, which has a decreased biotin-binding affinity of ≈10−8 M, allowing the biotinylated protein of interest to be eluted with excess free biotin.The frequency of marginal biotin status is not known, but the incidence of low circulating biotin levels in alcoholics has been found to be much greater than in the general population.
Whether an organism has an enzyme with that ability will determine the bioavailability of biotin from the foodstuff.The U.S. Institute of Medicine (IOM) updated Estimated Average Requirements (EARs), Recommended Dietary Allowances (RDAs) and Tolerable Upper Intake Levels (ULs) for many vitamins in 1998.
Until 2005, very harsh conditions were thought to be required to break the biotin-streptavidin interaction.Biotin is an important component of enzymes involved in metabolizing fats and carbohydrates, influencing cell growth, and affecting amino acids involved in protein synthesis."
Bitter Melon,Bitter Melon,"Also commonly seen is kattu pagarkkai, a curry in which bitter melons are stuffed with onions, cooked lentil and grated coconut mix, then tied with thread and fried in oil.
In Indonesian cuisine, bitter melon, known as pare in Javanese and Indonesian (also paria), is prepared in various dishes, such as gado-gado, and also stir-fried, cooked in coconut milk, or steamed.
In Thai cuisine, the Chinese variety of green bitter melon, mara (มะระ) in Thai, is prepared stuffed with minced pork and garlic, in a clear broth.
For cancer prevention, HIV and AIDS, and treatment of infections, there is preliminary laboratory research, but no clinical studies in humans showing a benefit.With regard to the use of Momordica charantia for diabetes, several animal studies and small-scale human studies have demonstrated a hypoglycemic effect of concentrated bitter melon extracts."
Black Psyllium,Black Psyllium,"Psyllium , or ispaghula (isabgol)  , is the common name used for several members of the plant genus Plantago whose seeds are used commercially for the production of mucilage.
Use of psyllium for a month or longer produces a small reduction in systolic blood pressure.The plants from which the seeds are extracted tolerate dry and cool climates and are mainly cultivated in northern India.The genus Plantago contains over 200 species.
Seed stored for future crops has shown a significant loss in viability after 2 years in storage.USDA Plants Profile: Plantago ovata Forsk.
In 1998, the U.S. Food and Drug Administration approved a health claim for dietary psyllium as a soluble fiber that would reduce the risk of heart disease.
What was proven in clinical trials was that seven grams or more per day of soluble fiber from psyllium seed husk would sufficiently lower total cholesterol and low density lipoprotein cholesterol in people with hypercholesterolemia, accepted biomarkers for risk for coronary heart disease."
Black Tea,Black Tea,"Fannings and dusts usually have a darker colour, lack of sweetness, and stronger flavor when brewed.Generally, unblended black teas are named after the region in which they are produced.
The rotorvane can consistently duplicate broken orthodox processed black tea of even sized broken leaves, however it cannot produce whole leaf black tea.
The broken leaves and particles from the orthodox method can feed into the CTC method for further processing into fanning or dust grade teas.
Since oxidation begins at the rolling stage itself, the time between these stages is also a crucial factor in the quality of the tea; however, fast processing of the tea leaves through continuous methods can effectively make this a separate step.
Unlike green teas, which turn bitter when brewed at higher temperatures, black tea should be steeped in water brought up to 90–95 °C."
Blessed Thistle,Blessed Thistle,"This fairly typical thistle has red to purple flowers and shiny pale green leaves with white veins.
Originally a native of Southern Europe through to Asia, it is now found throughout the world.Traditional milk thistle extract is made from the seeds, which contain approximately 4–6% silymarin.
Milk thistle (Silybum marianum) is a thorny plant presenting decorative leaves with a white pattern of veins and purple flower heads.
The spiny bracts on the flower head were eaten in the past like globe artichoke, and the stems (after peeling) can be soaked overnight to remove bitterness and then stewed.
The achenes are black, with a simple long white pappus, surrounded by a yellow basal ring.Milk thistle has been used for a number of purposes including treatment of liver disease, prevention and treatment of cancer, and supportive treatment of poisoning from death cap mushrooms; however, clinical study results were described as heterogeneous and contradictory.
A 2007 Cochrane Review included eighteen randomized clinical trials which assessed milk thistle in 1088 patients with alcoholic and/or hepatitis B or C virus liver diseases."
Blond Psyllium,Blond Psyllium,"Plantago ovata, known by many common names including blond plantain, desert Indianwheat, blond psyllium, and ispaghul, is a medicinal plant native to Western Asia and Southern Asia. The plant can be found growing wild in the southwestern United States, where it is considered a possibly  introduced species.It is a common source of psyllium, a type of dietary fiber. Psyllium seed husks are indigestible and are a source of soluble fiber which may be fermented into butyrate – a pharmacologically active short-chain fatty acid – by butyrate-producing bacteria..Plants For A Future: Plantago ovata
Jepson Manual Treatment
Photo galleryPsyllium"
Blue-Green Algae,Blue-Green Algae,"By producing and releasing oxygen (as a byproduct of photosynthesis), cyanobacteria are thought to have converted the early oxygen-poor, reducing atmosphere into an oxidizing one, causing the Great Oxygenation Event and the ""rusting of the Earth"", which dramatically changed the composition of the Earth's life forms and led to the near-extinction of anaerobic organisms.There are several features which are unique to the group of cyanobacteria.
This could potentially meet US demands for ethanol in gasoline in 2025, assuming a B30 blend, from an area of around half the size of California's San Bernardino County, requiring less than one-tenth of the area than ethanol from other biomass, such as corn, and only very limited amounts of fresh water.Cyanobacteria may possess the ability to produce substances that could one day serve as anti-inflammatory agents and combat bacterial infections in humans.Spirulina's extracted blue color is used as a natural food coloring in gum and candy.Researchers from several space agencies argue that cyanobacteria could be used for producing goods for human consumption in future manned outposts on Mars, by transforming materials available on this planet.Historically, bacteria were first classified as plants constituting the class Schizomycetes, which along with the Schizophyceae (blue-green algae/Cyanobacteria) formed the phylum Schizophyta, then in the phylum Monera in the kingdom Protista by Haeckel in 1866, comprising Protogens, Protamaeba, Vampyrella, Protomonae, and Vibrio, but not Nostoc and other cyanobacteria, which were classified with algae,"
Blueberry,Blueberry,"Commercial ""blueberries"" – including both wild ('lowbush') and cultivated ('highbush') blueberries – are all native to North America.
In 2016, Canada was the largest producer of wild blueberries, mainly in Quebec and the Atlantic provinces, but the production effort for wild blueberries was changing in 2017 to the more profitable cultivated highbush blueberries.In the Southern Hemisphere, Peru, Chile, Argentina, Uruguay, South Africa, New Zealand, and Australia grow blueberries commercially.
Every year the town hosts a large festival that draws thousands of people to celebrate the fruit.Resulting from cultivation of both lowbush (wild) and highbush blueberries, Maine accounts for 10% of all blueberries grown in North America with 44,000 hectares (110,000 acres) farmed, but only half of this acreage is harvested each year due to variations in pruning practices.
Other sections in the genus, native to other parts of the world, including the Pacific Northwest and southern United States, South America, Europe, and Asia, include other wild shrubs producing similar-looking edible berries, such as huckleberries and whortleberries (North America) and bilberries (Europe)."
Boron,Boron,"Ultrapure boron for use in the semiconductor industry is produced by the decomposition of diborane at high temperatures and then further purified by the zone melting or Czochralski processes.The production of boron compounds does not involve the formation of elemental boron, but exploits the convenient availability of borates.Elemental boron is rare and poorly studied because the pure material is extremely difficult to prepare.
The boron is present as borosilicate, borax, or boron oxide, and is added to increase the strength of the glass, or as a fluxing agent to decrease the melting temperature of silica, which is too high to be easily worked in its pure form to make glass fibers.
Similarly, AlMgB14 + TiB2 composites possess high hardness and wear resistance and are used in either bulk form or as coatings for components exposed to high temperatures and wear loads.Elemental boron, boron oxide, boric acid, borates, and many organoboron compounds are relatively nontoxic to humans and animals (with toxicity similar to that of table salt)."
Calendula,Calendula,"Calendula (),  is a genus of about 15–20 species of annual and perennial herbaceous plants in the daisy family Asteraceae that are often known as marigolds.
The most commonly cultivated and used member of the genus is the pot marigold (Calendula officinalis).
officinalis is used as an anti-inflammatory and a remedy for healing wounds.Plant pharmacological studies have suggested that Calendula extracts have antiviral, antigenotoxic, and anti-inflammatory properties in vitro.
officinalis flowers was shown to have both spasmolytic and spasmogenic effects, thus providing a scientific rationale for this traditional use.
officinalis obtained by a novel extraction method has demonstrated antitumor (cytotoxic) activity and immunomodulatory properties (lymphocyte activation) in vitro, as well as antitumor activity in mice.Calendula plants are known to cause allergic reactions, and should be avoided during pregnancy.Flora Europaea: Calendula
The flowers were a common ingredient in German soups and stews, which explains the nickname ""pot marigold"".
maritima (Guss.) Ohle – sea marigold
Calendula officinalis L."
Cannabidiol (CBD),Cannabidiol (CBD),"Of cases reported in 2019, more than 33% received medical attention and 46 people were admitted to a hospital intensive care unit.In October 2018, cannabidiol became legal for recreational and medical use by the federal Cannabis Act. As of August 2019, CBD products in Canada could only be sold by authorized retailers or federally licensed medical companies, limiting their access to the general public.
It was approved in 2018 by the US Food and Drug Administration for treatment of two rare forms of childhood epilepsy, Lennox-Gastaut syndrome and Dravet syndrome.As of 2019, there was only limited high-quality evidence for cannabidiol having a neurological effect in people, mainly due to the weak design and small number of subjects in randomized controlled trials.CBD is classified as a medical product in Sweden.Selective breeding of cannabis plants has expanded and diversified as commercial and therapeutic markets develop."
Capsicum,Capsicum,"In Germany, the heatless varieties as well as the spice are called Paprika and the hot types are primarily called Peperoni or Chili while in Austria, Pfefferoni is more common for these; in Dutch, this word is also used exclusively for bell peppers, whereas chilli is reserved for powders, and hot pepper variants are referred to as Spaanse pepers (Spanish peppers).
In Mexico, the term chile is used for ""hot peppers"", while the heatless varieties are called pimiento (the masculine form of the word for pepper, which is pimienta).
In Japanese, tōgarashi (唐辛子, トウガラシ ""Chinese mustard"") refers to hot chili peppers, and particularly a spicy powder made from them which is used as a condiment, while bell peppers are called pīman (ピーマン, from the French piment or the Spanish pimiento).Sources:Capsicum fruits and peppers can be eaten raw or cooked.
chinense fruits.The amount of capsaicin in hot peppers varies significantly among varieties, and is measured in Scoville heat units (SHU)."
Cascara Sagrada,Cascara Sagrada,"Some of the chemical constituents present in the bark may be excreted by the kidney following medicinal use, resulting in a harmless change in the color of the urine.Studies have shown that the extract from cascara bark also contains a substance called emodin, which may contribute to the laxative effect, due to its excitation of smooth muscle cells in the large intestine.Flora of British Columbia: Rhamnus purshiana
purshiana has been used continually for many years by both Pacific northwest native peoples and immigrant Euro-Americans as a laxative natural medicine, as one of several anthraquinone-containing herbal medicines including the leaf and fruits of senna, the latex of Aloe vera, and the root of the rhubarb plant.
Cascara was found in more drug preparations than any other natural product in North America, and is believed to be the most widely used cathartic in the world.Historically, cascara was used in traditional medicine as a laxative, and in the late 20th century, the United States Food and Drug Administration (FDA) approved its use for this purpose."
Chondroitin Sulfate,Chondroitin Sulfate,"""NIH News: Efficacy of Glucosamine and Chondroitin Sulfate May Depend on Level of Osteoarthritis Pain"", Wednesday, February 22, 2006 at National Institutes of HealthWhile it is a prescription or over-the-counter drug in 22 countries, chondroitin is regulated in the U.S. as a dietary supplement by the Food and Drug Administration.
They further denied the request to market it as safe, given that no human clinical trials were done, citing that animal studies are not sufficient for the approval of a dietary supplement.The effect of chondroitin sulfate in people with osteoarthritis is likely the result of a number of reactions including its anti-inflammatory activity, the stimulation of the synthesis of proteoglycans and hyaluronic acid, and the decrease in catabolic activity of chondrocytes, inhibiting the synthesis of proteolytic enzymes, nitric oxide, and other substances that contribute to damage the cartilage matrix and cause death of articular chondrocytes."
Clove,Clove,"Cloves are available throughout the year due to different harvest seasons in different countries.Eugenol composes 72–90% of the essential oil extracted from cloves, and is the compound most responsible for clove aroma.
Cloves are harvested at 1.5–2 centimetres (0.59–0.79 in) long, and consist of a long calyx that terminates in four spreading sepals, and four unopened petals that form a small central ball.Though long-used in traditional medicine, there is little evidence that clove oil containing eugenol is effective for toothache pain or other types of pain, although one review reported efficacy of eugenol combined with zinc oxide as an analgesic for alveolar osteitis.
Since 2009, clove cigarettes have been classified as cigars in the US.Because of the bioactive chemicals of clove, the spice may be used as an ant repellent.Cloves can be used to make a fragrance pomander when combined with an orange."
Coconut Oil,Coconut Oil,"Used by movie theatre chains to pop popcorn, coconut oil adds considerable saturated fat and calories to the snackfood while enhancing flavor, possibly a factor increasing further consumption of high-calorie snackfoods, energy balance, and weight gain.Other culinary uses include replacing solid fats produced through hydrogenation in baked and confectionery goods.
KERAFEDCoconut oil can be extracted through dry or wet processing.Many health organizations advise against the consumption of coconut oil due to its high levels of saturated fat, including the United States Food and Drug Administration, World Health Organization, the United States Department of Health and Human Services, American Dietetic Association, American Heart Association, British National Health Service, British Nutrition Foundation, and Dietitians of Canada.Marketing of coconut oil has created the inaccurate belief that it is a ""healthy food""."
Coconut Water,Coconut Water,"In this custom, the elderly person is made to drink an excessive amount of coconut water, eventually resulting in fever and death, the exact causes of which were not determined.Marketing claims attributing health benefits to coconut water are not based on science and are disallowed by certain regulatory agencies like the Food and Drug Administration.
It is also used to make nata de coco, a jelly-like food.Since the early 21st century, coconut water has been marketed in Western countries as a natural energy or sports drink having low levels of fat, carbohydrates, and calories, and significant electrolyte content.
However, the contents of primary electrolytes sodium, potassium, magnesium and calcium per 100 millilitres (3.5 imp fl oz; 3.4 US fl oz) serving of unprocessed coconut water are insignificant (2–7% of the DV) and not balanced."
Cod Liver Oil,Cod Liver Oil,"Cod liver oil is a dietary supplement derived from liver of cod fish (Gadidae).
Cod liver oil also contains vitamin A and vitamin D.
Pregnant women may want to consider consulting a doctor when taking cod liver oil because of the high amount of retinol.Fatty acid oxidation and environmental toxins content are reduced when purification processes are applied to produce refined fish oil products.Dan Dale Alexander
Scandinavian Vikings produced cod liver oil by laying birch tree branches over a kettle of water, and fresh livers were laid over the branches.
There was also a method for producing fresh raw cod liver oil.In the Industrial Revolution, cod liver oil became popular for industrial purposes.
According to the United States Department of Agriculture, a tablespoon (13.6 grams or 14.8 mL) of cod liver oil contains 4,080 μg of retinol (vitamin A) and 34 μg (1360 IU) of vitamin D."
Creatine,Creatine,"Creatine supplements are marketed in ethyl ester, gluconate, monohydrate, and nitrate forms.Creatine, which is synthesized in the liver and kidneys, is transported through the blood and taken up by tissues with high energy demands, such as the brain and skeletal muscle, through an active transport system.
Creatine itself can be phosphorylated by creatine kinase to form phosphocreatine, which is used as an energy buffer in skeletal muscles and the brain.A 2011 survey of 33 supplements commercially available in Italy found that over 50% of them exceeded the European Food Safety Authority recommendations in at least one contaminant.
Both the American Academy of Pediatrics and the American College of Sports Medicine recommend that individuals younger than 18 years old not use creatine.People with kidney disease, high blood pressure, or liver disease should not take creatine as a dietary supplement.One well-documented effect of creatine supplementation is weight gain within the first week of the supplement schedule, likely attributable to greater water retention due to the increased muscle creatine concentrations.A 2009 systematic review discredited concerns that creatine supplementation could affect hydration status and heat tolerance and lead to muscle cramping and diarrhea.Genetic deficiencies in the creatine biosynthetic pathway lead to various severe neurological defects."
DHEA,DHEA,"As DHEA-S can be converted back into DHEA, it serves as a circulating reservoir for DHEA, thereby extending the duration of DHEA.Metabolites of DHEA include DHEA-S, 7α-hydroxy-DHEA, 7β-hydroxy-DHEA, 7-keto-DHEA, 7α-hydroxyepiandrosterone, and 7β-hydroxyepiandrosterone, as well as androstenediol and androstenedione.Epigenetic clockDHEA supplements have been promoted for their claimed cancer prevention properties, but there is no scientific evidence to support these claims.DHEA has been found to competitively inhibit TRPV1.In 2011, the surprising discovery was made that DHEA, as well as DHEA-S, directly bind to and activate the TrkA and p75NTR, receptors of neurotrophins like nerve growth factor (NGF) and brain-derived neurotrophic factor (BDNF), with high affinity."
Deer Velvet,Deer Velvet,"Early commercial activity in Russia between the 1930s and 1980s led to the production of an alcohol extract from deer antler velvet marketed under the Russian drug trade name Pantocrin (also pantocrine or pantokrin).In the West, velvet antler is dried, powdered, and consumed in encapsulated form or via aqueous alcohol extract as a dietary supplement, for which it is monitored for potential manufacturing and advertising violations by the US Food and Drug Administration and the Federal Trade Commission.
A review published in 2012 summarized results from clinical research, including three studies on sports performance: ""Claims that velvet antler supplements have beneficial effects for any human condition are not currently supported by sound clinical data from human trials.""Moose, elk and deer produce new antlers yearly (primarily males, except in caribou/reindeer).
United States and Canada each produce 20 tons annually.S.W.A.T.S. Fitness and Performance was a dietary supplement company that sold deer antler spray and other products."
Devil's Claw,Harpagophytum,"Devil's claw's tuberous roots are used in folk medicine to reduce pain.Botany databases at the Hunt Institute for Botanical Documentation Media related to Harpagophytum at Wikimedia CommonsHarpagophytum procumbens is mainly found in the eastern and south eastern parts of Namibia, Southern Botswana and the Kalahari region of the Northern Cape, South Africa.
Although there is no accepted clinical evidence of its efficacy and bioavailability, limited effects were noted for treating lower back pain and osteoarthritis.A Cochrane review of clinical research noted that devil's claw seems to reduce low back pain more than placebo, although evidence was of moderate quality at best.Harpagophytum procumbens inhabits deep, sandy soils, and occurs in areas with low annual rainfall (150–300 mm/year).
However, the range states have implemented measures to manage the trade sustainably and the proposal to protect the species by CITES was withdrawn.Various studies have examined the biological and ecological requirements of harvested and unharvested populations.
Stewart (2009) examined population structure, density, growth, mortality, and seed and fruit production in harvested and unharvested populations in the Kalahari savannas of South Africa."
Dong Quai,Dong Quai,"Angelica sinensis, commonly known as dong quai（ Chinese :当归 ） or ""female ginseng"" is a herb from the family Apiaceae, indigenous to China.
sinensis is commonly known as Chinese angelica (Chinese: 當歸; pinyin: dāngguī; Pe̍h-ōe-jī: tong-kui)  and is widely used in Chinese traditional medicine in the belief it benefits women's health, cardiovascular conditions, osteoarthrosis, inflammation, headache, infections, mild anemia, fatigue and high blood pressure.
Overall, the U.S. National Library of Medicine states that more evidence is needed to rate the effectiveness of dong quai for most uses.Angelica
- Considers anti-inflammatory properties of dried roots from the species Angelica sinensis (Dong Quai), Acanthopanax senticosus (now known as Eleutherococcus senticosus, or Siberian Ginseng), and Scutellaria baicalensis (Baikal Skullcap).A. sinensis may increase the anticoagulant effects of the drug warfarin (as it contains coumarins) and consequently increase the risk of bleeding.Due to the antiplatelet and anticoagulant effects of A."
Eucalyptus,Eucalyptus,"The trunks and branches of the eucalyptus tree allow the largest known moth, Zelotypia stacyi (the bentwing ghost moth, having a wingspan up to 250 mm) to feed and protect their larva and pupa, respectively.Eucalypts originated between 35 and 50 million years ago, not long after Australia-New Guinea separated from Gondwana, their rise coinciding with an increase in fossil charcoal deposits (suggesting that fire was a factor even then), but they remained a minor component of the Tertiary rainforest until about 20 million years ago, when the gradual drying of the continent and depletion of soil nutrients led to the development of a more open forest type, predominantly Casuarina and Acacia species.
The Blue Mountains of southeastern Australia have been a centre of eucalypt diversification; their name is in reference to the blue haze prevalent in the area, believed derived from the volatile terpenoids emitted by these trees.Eucalyptus oil is readily steam distilled from the leaves and can be used for cleaning and as an industrial solvent, as an antiseptic, for deodorising, and in very small quantities in food supplements, especially sweets, cough drops, toothpaste and decongestants."
Folic Acid,Folic Acid,"Low levels in early pregnancy are believed to be the cause of more than half of babies born with NTDs. More than 80 countries use either mandatory or voluntary fortification of certain foods with folic acid as a measure to decrease the rate of NTDs. Long-term supplementation with relatively large amounts of folic acid is associated with small reduction in the risk of stroke and an increased risk of prostate cancer.
A 2018 review by authors based in the United Kingdom strongly recommended that mandatory fortification be reconsidered as a means of reducing the risk of neural tube defects.One meta-analysis reported that multi-year folic acid supplementation, in amounts in most of the included clinical trials at higher than the UL of 1,000 μg/day, reduced the relative risk of cardiovascular disease by a modest 4%."
