,InteractionIdId,name_used,summary,url,toc
allopurinol (zyloprim),269,Allopurinol,"Allopurinol, sold under the brand name Zyloprim among others, is a medication used to decrease high blood uric acid levels.
It is specifically used to prevent gout, prevent specific types of kidney stones and for the high uric acid levels that can occur with chemotherapy.
It is taken by mouth or injected into a vein.Common side effects when used by mouth include itchiness and rash.
Common side effects when used by injection include vomiting and kidney problems.
While not recommended historically, starting allopurinol during an attack of gout appears to be safe.
In those already on the medication, it should be continued even during an acute gout attack.
The wholesale cost in the developing world is about US$0.81–3.42 per month.
In the United States a month of treatment costs less than $25.
In 2016 it was the 52nd most prescribed medication in the United States with more than 15 million prescriptions.",https://en.wikipedia.org/wiki/Allopurinol,"[('Medical uses', 'Gout'), ('Medical uses', 'Tumor lysis syndrome'), ('Medical uses', 'Inflammatory bowel disease'), ('Side effects',), ('Drug interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacogenetics'), ('History',), ('Society and culture', 'Formulations'), ('Society and culture', 'Brands'), ('See also',), ('References',), ('External links',)]"
alpha-lipoic acid,44,Lipoic acid,"Lipoic acid (LA), also known as α-lipoic acid and alpha lipoic acid (ALA) and thioctic acid, is an organosulfur compound derived from caprylic acid (octanoic acid).  ALA is made in animals normally, and is essential for aerobic metabolism.  It is also manufactured and is available as a dietary supplement in some countries where it is marketed as an antioxidant, and is available as a pharmaceutical drug in other countries.",https://en.wikipedia.org/wiki/Lipoic_acid,"[('Physical and chemical properties',), ('Biological function', 'Biosynthesis and attachment'), ('Biological function', 'Enzymatic activity'), ('Biological function', 'Biological sources and degradation'), ('Chemical synthesis',), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Pharmacodynamics'), ('Uses',), ('Clinical research',), ('Other lipoic acids',), ('References',), ('External links',)]"
aluminum,297,Aluminium,"Aluminium (aluminum in American and Canadian English) is a chemical element with the symbol Al and atomic number 13.
By mass, aluminium makes up about 8% of the Earth's crust; it is the third most abundant element after oxygen and silicon and the most abundant metal in the crust, though it is less common in the mantle below.
The chief ore of aluminium is bauxite.
Aluminium metal is highly reactive, such that native specimens are rare and limited to extreme reducing environments.
Aluminium and its alloys are vital to the aerospace industry and important in transportation and building industries, such as building facades and window frames.
The oxides and sulfates are the most useful compounds of aluminium.Despite its prevalence in the environment, no known form of life uses aluminium salts metabolically, but aluminium is well tolerated by plants and animals.",https://en.wikipedia.org/wiki/Aluminium,"[('Physical characteristics', 'Nuclei and isotopes'), ('Physical characteristics', 'Electron shell'), ('Physical characteristics', 'Bulk'), ('Chemistry', 'Inorganic compounds', 'Rarer oxidation states', 'Aluminium(I)'), ('Chemistry', 'Inorganic compounds', 'Rarer oxidation states', 'Aluminium(II)'), ('Chemistry', 'Organoaluminium compounds and related hydrides'), ('Natural occurrence', 'In space'), ('Natural occurrence', 'On Earth'), ('History',), ('Etymology', 'Spelling'), ('Production and refinement', 'Bayer process'), ('Production and refinement', 'Hall–Héroult process'), ('Production and refinement', 'Recycling'), ('Applications', 'Metal'), ('Applications', 'Compounds'), ('Biology', 'Toxicity'), ('Biology', 'Effects'), ('Biology', 'Exposure routes'), ('Biology', 'Treatment'), ('Environmental effects',), ('See also',), ('Notes',), ('References',), ('Bibliography',), ('Further reading',), ('External links',)]"
amiloride (midamor),326,Amiloride,"Amiloride, sold under the trade name Midamor among others, is a medication typically used with other medications to treat high blood pressure or swelling due to heart failure or cirrhosis of the liver.
Amiloride is often used with a thiazide or other loop diuretic.
Onset of action is about two hours and it lasts for about a day.Common side effects include high blood potassium, vomiting, loss of appetite, rash, and headache.
The risk of high blood potassium is greater in those with kidney problems, diabetes, and those who are older.
Amiloride is in the potassium-sparing diuretic family of medications.
It works by increasing the amount of sodium and decreasing the amount of potassium released by the distal tubule of the kidney.Amiloride was developed in 1967.
In the United States, the wholesale price of a month of medication is about US$20.10.
In the United Kingdom, a month of medication costs the NHS about £24.",https://en.wikipedia.org/wiki/Amiloride,"[('Medical uses', 'Specific populations', 'Diabetics'), ('Medical uses', 'Specific populations', 'Poor kidney function'), ('Medical uses', 'Specific populations', 'Lactation'), ('Medical uses', 'Specific populations', 'Pregnancy'), ('Contraindications',), ('Adverse effects',), ('Overdose',), ('Interactions',), ('Pharmacology', 'Mechanism of action', 'Diuresis'), ('Pharmacology', 'Mechanism of action', 'Miscellaneous'), ('Pharmacology', 'Pharmacokinetics', 'Absorption'), ('Pharmacology', 'Pharmacokinetics', 'Distribution'), ('Pharmacology', 'Pharmacokinetics', 'Metabolism'), ('Pharmacology', 'Pharmacokinetics', 'Excretion'), ('Pharmacology', 'Pharmacogenomics'), ('Chemistry',), ('History',), ('Society and culture', 'Formulations and trade names'), ('Research',)]"
aminopyrine,162,Aminophenazone,"Aminophenazone (or aminopyrine,  amidopyrine, Pyramidon) is a pyrazolone with analgesic, anti-inflammatory, and antipyretic properties but has risk of agranulocytosis. A breath test with 13C-labeled aminopyrine has been used as a non-invasive measure of cytochrome P-450 metabolic activity in liver function tests. It is also used in measuring the total body water in the human body system. Production and use have been banned in France, Thailand and India.",https://en.wikipedia.org/wiki/Aminophenazone,"[('History',), ('Symptoms',), ('Metabolism',)]"
amiodarone (cordarone),186,Amiodarone,"Amiodarone is an antiarrhythmic medication used to treat and prevent a number of types of irregular heartbeats.
As amiodarone can have serious side effects, it is mainly recommended only for significant ventricular arrhythmias.
Serious side effects include lung toxicity such as interstitial pneumonitis, liver problems, heart arrhythmias, vision problems, thyroid problems, and death.
It works partly by increasing the time before a heart cell can contract again.Amiodarone was first made in 1961 and came into medical use in 1962 for chest pain believed to be related to the heart.
In 1974 it was found to be useful for arrhythmias and reintroduced.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
In 2016 it was the 198th most prescribed medication in the United States with more than 2 million prescriptions.",https://en.wikipedia.org/wiki/Amiodarone,"[('Medical uses', 'Cardiac arrest'), ('Medical uses', 'Ventricular tachycardia'), ('Medical uses', 'Atrial fibrillation'), ('Contraindications',), ('Side effects', 'Lung'), ('Side effects', 'Thyroid'), ('Side effects', 'Eye'), ('Side effects', 'Liver'), ('Side effects', 'Skin'), ('Side effects', 'Pregnancy and breastfeeding'), ('Side effects', 'Other'), ('Interactions',), ('Metabolism', 'Excretion'), ('Pharmacology',), ('History', 'Name'), ('Dosing',), ('Administration',), ('See also',), ('References',), ('External links',)]"
"amiodarone (cordarone, nexterone, pacerone)",287,Amiodarone,"Amiodarone is an antiarrhythmic medication used to treat and prevent a number of types of irregular heartbeats.
As amiodarone can have serious side effects, it is mainly recommended only for significant ventricular arrhythmias.
Serious side effects include lung toxicity such as interstitial pneumonitis, liver problems, heart arrhythmias, vision problems, thyroid problems, and death.
It works partly by increasing the time before a heart cell can contract again.Amiodarone was first made in 1961 and came into medical use in 1962 for chest pain believed to be related to the heart.
In 1974 it was found to be useful for arrhythmias and reintroduced.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
In 2016 it was the 198th most prescribed medication in the United States with more than 2 million prescriptions.",https://en.wikipedia.org/wiki/Amiodarone,"[('Medical uses', 'Cardiac arrest'), ('Medical uses', 'Ventricular tachycardia'), ('Medical uses', 'Atrial fibrillation'), ('Contraindications',), ('Side effects', 'Lung'), ('Side effects', 'Thyroid'), ('Side effects', 'Eye'), ('Side effects', 'Liver'), ('Side effects', 'Skin'), ('Side effects', 'Pregnancy and breastfeeding'), ('Side effects', 'Other'), ('Interactions',), ('Metabolism', 'Excretion'), ('Pharmacology',), ('History', 'Name'), ('Dosing',), ('Administration',), ('See also',), ('References',), ('External links',)]"
amlodopine (norvasc),28,Amlodipine,"Amlodipine, sold under the brand name Norvasc among others, is a medication used to treat high blood pressure and coronary artery disease.
While not typically recommended in heart failure, amlodipine may be used if other medications are not sufficient for treating high blood pressure or heart-related chest pain.
Serious side effects may include low blood pressure or heart attack.
It is a long-acting calcium channel blocker of the dihydropyridine type.Amlodipine was patented in 1982 and approved for medical use in 1990.
It is on the World Health Organization's List of Essential Medicines, which lists the most effective and safe medicines needed in a health system.
Wholesale cost in the developing world is US$0.003 to 0.066 per day for a typical dose as of 2015.
In the United States, a month's supply costs less than $25.
In 2016, it was the 5th most prescribed medication in the United States, with more than 75 million prescriptions.",https://en.wikipedia.org/wiki/Amlodipine,"[('Medical uses', 'Combination therapy'), ('Contraindications',), ('Adverse effects',), ('Overdose',), ('Interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('History',), ('Veterinary use',), ('References',), ('External links',)]"
amphetamines,163,Amphetamine,"Amphetamine properly refers to a specific chemical, the racemic free base, which is equal parts of the two enantiomers, levoamphetamine and dextroamphetamine, in their pure amine forms.
It is a prescription drug in many countries, and unauthorized possession and distribution of amphetamine are often tightly controlled due to the significant health risks associated with recreational use.The first amphetamine pharmaceutical was Benzedrine, a brand which was used to treat a variety of conditions.
Addiction is a serious risk with heavy recreational amphetamine use, but is unlikely to occur from long-term medical use at therapeutic doses.
Recreational doses are generally much larger than prescribed therapeutic doses and carry a far greater risk of serious side effects.Amphetamine belongs to the phenethylamine class.
As a member of the phenethylamine class, amphetamine is also chemically related to the naturally occurring trace amine neuromodulators, specifically phenethylamine and N-methylphenethylamine, both of which are produced within the human body.",https://en.wikipedia.org/wiki/Amphetamine,"[('Uses', 'Medical'), ('Uses', 'Enhancing performance', 'Cognitive performance'), ('Uses', 'Enhancing performance', 'Physical performance'), ('Contraindications',), ('Adverse effects', 'Physical'), ('Adverse effects', 'Psychological'), ('Adverse effects', 'Reinforcement disorders', 'Addiction', 'Biomolecular mechanisms'), ('Adverse effects', 'Reinforcement disorders', 'Addiction', 'Pharmacological treatments'), ('Adverse effects', 'Reinforcement disorders', 'Addiction', 'Behavioral treatments'), ('Adverse effects', 'Reinforcement disorders', 'Dependence and withdrawal'), ('Overdose', 'Toxicity'), ('Overdose', 'Psychosis'), ('Drug interactions',), ('Pharmacology', 'Pharmacodynamics', 'Dopamine'), ('Pharmacology', 'Pharmacodynamics', 'Norepinephrine'), ('Pharmacology', 'Pharmacodynamics', 'Serotonin'), ('Pharmacology', 'Pharmacodynamics', 'Other neurotransmitters, peptides, and hormones'), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Pharmacomicrobiomics'), ('Pharmacology', 'Related endogenous compounds'), ('Chemistry', 'Substituted derivatives'), ('Chemistry', 'Synthesis'), ('Chemistry', 'Detection in body fluids'), ('History, society, and culture', 'Legal status'), ('History, society, and culture', 'Pharmaceutical products'), ('Notes',), ('Reference notes',), ('References',), ('External links',)]"
amprenavir (agenerase),228,Amprenavir,"Amprenavir (original brand name Agenerase, GlaxoSmithKline) is a protease inhibitor used to treat HIV infection. It was approved by the Food and Drug Administration on April 15, 1999, for twice-a-day dosing instead of needing to be taken every eight hours. The convenient dosing came at a price, as the dose required is 1,200 mg, delivered in 8 (eight) very large 150 mg gel capsules or 24 (twenty-four) 50 mg gel capsules twice daily.It was patented in 1992 and approved for medical use in 1999. Production of amprenavir was discontinued by the manufacturer on December 31, 2004; a prodrug version (fosamprenavir), is available.",https://en.wikipedia.org/wiki/Amprenavir,"[('Background',), ('References',), ('External links',)]"
anastrozole (arimidex),148,Anastrozole,"Anastrozole, sold under the brand name Arimidex among others, is a medication used in addition to other treatments for breast cancer.
Specifically it is used for hormone receptor-positive breast cancer.
It has also been used to prevent breast cancer in those at high risk.
It is taken by mouth.Common side effects of anastrozole include hot flashes, altered mood, joint pain, and nausea.
Severe side effects include an increased risk of heart disease and osteoporosis.
It works by blocking the production of estrogens in the body, and hence has antiestrogenic effects.Anastrozole was patented in 1987 and was approved for medical use in 1995.
Anastrozole is available as a generic medication.
The wholesale cost in the developing world is about US$1.92–30.60 a month.
In the United States the wholesale cost is about $3.81 per month.
In 2016, it was the 224th most prescribed medication in the United States, with more than 2 million prescriptions.",https://en.wikipedia.org/wiki/Anastrozole,"[('Medical uses', 'Breast cancer'), ('Medical uses', 'Early puberty'), ('Medical uses', 'Available forms'), ('Contraindications',), ('Side effects',), ('Interactions',), ('Pharmacology', 'Pharmacodynamics'), ('Pharmacology', 'Pharmacokinetics'), ('Chemistry',), ('History',), ('Society and culture', 'Generic names'), ('Society and culture', 'Brand names'), ('Society and culture', 'Availability'), ('Research',)]"
antacids,100,Antacid,"An antacid is a substance which neutralizes excess gastric acidity/stomach acidity and is used to relieve heartburn, indigestion or an upset stomach.",https://en.wikipedia.org/wiki/Antacid,"[('Medical uses',), ('Side effects',), ('Mechanism of action',), ('Formulations and brands', 'Effervescents'), ('Formulations and brands', 'Algeldrate')]"
antibiotic drugs,24,Antimicrobial resistance,"Resistant microbes are more difficult to treat, requiring alternative medications or higher doses of antimicrobials.
Antibiotics increase selective pressure in bacterial populations, causing vulnerable bacteria to die; this increases the percentage of resistant bacteria which continue growing.
Even at very low levels of antibiotic, resistant bacteria can have a growth advantage and grow faster than vulnerable bacteria.
With resistance to antibiotics becoming more common there is greater need for alternative treatments.
Calls for new antibiotic therapies have been issued, but new drug development is becoming rarer.Antimicrobial resistance is increasing globally because of greater access to antibiotic drugs in developing countries.
Each year in the United States, at least 2.8 million people become infected with bacteria that are resistant to antibiotics and at least 35,000 people die as a result.
There are public calls for global collective action to address the threat that include proposals for international treaties on antimicrobial resistance.",https://en.wikipedia.org/wiki/Antimicrobial_resistance,"[('Definition',), ('Overview',), ('Causes', 'Clinical significance'), ('Causes', 'Veterinary medicine'), ('Causes', 'Natural occurrence'), ('Causes', 'Water pollution'), ('Prevention', 'Duration of antibiotics'), ('Prevention', 'Monitoring and mapping'), ('Prevention', 'Limiting antibiotic use', 'At the hospital level'), ('Prevention', 'Limiting antibiotic use', 'At the farming level'), ('Prevention', 'Limiting antibiotic use', 'At the level of GP'), ('Prevention', 'Limiting antibiotic use', 'At the individual level'), ('Prevention', 'Limiting antibiotic use', 'Country examples'), ('Prevention', 'Water, sanitation, hygiene'), ('Prevention', 'Industrial wastewater treatment'), ('Prevention', 'Management in animal use', 'Europe'), ('Prevention', 'Management in animal use', 'United States'), ('Prevention', 'Global action plans and awareness', 'Antibiotic Awareness Week'), ('Mechanisms and organisms', 'Bacteria'), ('Mechanisms and organisms', 'Viruses'), ('Mechanisms and organisms', 'Fungi'), ('Mechanisms and organisms', 'Parasites'), ('History',), ('Society and culture', 'Legal frameworks', 'U.S.'), ('Society and culture', 'Policies'), ('Further research', 'Vaccines'), ('Further research', 'Alternating therapy'), ('Further research', 'Development of new drugs'), ('Further research', 'Rediscovery of ancient treatments'), ('Further research', 'Rapid diagnostics'), ('Further research', 'Phage therapy'), ('See also',), ('References', 'Books'), ('References', 'Journals'), ('External links',)]"
antibiotics (quinolone antibiotics),53,Quinolone antibiotic,"A quinolone antibiotic is a member of a large group of broad-spectrum bacteriocidals that share a bicyclic core structure related to the substance 4-quinolone. They are used in human and veterinary medicine to treat bacterial infections, as well as in animal husbandry.
Nearly all quinolone antibiotics in use are fluoroquinolones, which contain a fluorine atom in their chemical structure and are effective against both Gram-negative and Gram-positive bacteria. One example is ciprofloxacin, one of the most widely used antibiotics worldwide.",https://en.wikipedia.org/wiki/Quinolone_antibiotic,"[('Medical uses', 'Children'), ('Adverse effects', 'Boxed warnings'), ('Adverse effects', 'Tendons'), ('Adverse effects', 'Nervous system'), ('Adverse effects', 'Aortic dissection'), ('Adverse effects', 'Colitis'), ('Adverse effects', 'Other'), ('Adverse effects', 'Mechanism of toxicity'), ('Interactions',), ('Contraindications',), ('Antibiotic misuse and bacterial resistances',), ('Mechanism of action', 'Cellular uptake'), ('Pharmacology', 'Pharmacokinetics'), ('History', 'Generations', 'First generation'), ('History', 'Generations', 'Second generation'), ('History', 'Generations', 'Third generation'), ('History', 'Generations', 'Fourth generation'), ('History', 'Veterinary use'), ('References',), ('External links',)]"
