,name_used,summary
"akebia, clematis stem","akebia, clematis stem","Clematis
is a genus of about 300 species within the buttercup family, Ranunculaceae.  Their garden hybrids have been popular among gardeners, beginning with Clematis × jackmanii, a garden standby since 1862; more hybrid cultivars are being produced constantly. They are mainly of Chinese and Japanese origin. Most species are known as clematis in English, while some are also known as traveller's joy, a name invented for the sole British native, C. vitalba, by the herbalist John Gerard; virgin's bower for C. terniflora, C. virginiana, and C. viticella; old man's beard, applied to several with prominent seedheads; leather flower for those with fleshy petals; or vase vine for the North American Clematis viorna."
alexandrian senna leaf,alexandrian senna leaf,"""Cassia lanceolata"" redirects here.
This taxon may also refer to other plants; see below.
Senna alexandrina (Alexandrian senna, in Arabic عشرج or عشرق or سينامكي and see below) is an ornamental plant in the genus Senna.
It grows natively in lower Egypt, especially in the Nubian region, and near Khartoum (Sudan), where it is cultivated commercially.
Alexandrian Senna is a shrubby plant that reaches 0.5–1, rarely two, metres in height with a branched, pale-green erect stem and long spreading branches bearing four or five pairs of leaves.
These leaves form complex, feathery, mutual pairs.
The leaflets vary from 4 to 6 pairs, fully edged, with a sharp top.
The midribs are equally divided at the base of the leaflets.
When cultivated, the plants are cut down semi-annually, dried in the sun, stripped and packed in palm-leaf bags.
For the nomadic Ababda, for example, trade in senna provides a significant source of income."
alfalfa,alfalfa,"Alfalfa (), also called lucerne and called Medicago sativa in binomial nomenclature, is a perennial flowering plant in the legume family Fabaceae.
It is cultivated as an important forage crop in many countries around the world.
It is used for grazing, hay, and silage, as well as a green manure and cover crop.
The name alfalfa is used in North America.
The name lucerne is the more commonly used name in the United Kingdom, South Africa, Australia, and New Zealand.
The plant superficially resembles clover (a cousin in the same family), especially while young, when trifoliate leaves comprising round leaflets predominate.
Later in maturity, leaflets are elongated.
Alfalfa is native to warmer temperate climates.
It has been cultivated as livestock fodder since at least the era of the ancient Greeks and Romans.
Alfalfa sprouts are a common ingredient in dishes made in South Indian cuisine."
all - grass of barbed skullcap,all - grass of barbed skullcap,"Susya (Arabic: سوسية‎, Hebrew: סוּסְיָא; Susiya, Susia) is the site of an ancient Jewish village in the southern Judaean Mountains of the West Bank, a Palestinian settlement established perhaps as early as the 1830s and a religious communal Israeli settlement under the jurisdiction of Har Hebron Regional Council established in 1983.
The Palestinians then moved a few hundred meters southeast of their original village.The population of the Palestinian community reportedly numbered 350 in 2012 and 250 residents the following year, constituted by 50 nuclear families (2015), up from 25 in 1986 and 13 in 2008.The Israeli government, which has issued temporary injunctions against High Court decisions to demolish illegal Israeli outposts, made a petition to the High Court to permit the demolition of Palestinian Susya.
The attorney for the Palestinians replied that the army was stopping Palestinians building on their own privately owned land, while permitting settlers to seize their agricultural fields.The international community considers Israeli settlements in the West Bank illegal under international law; the Israeli government disputes this."
all - grass of bunge corydalis,bunge corydalis,This is a complete and as of 2009 up-to-date list of vascular plants listed in the Red Data Book of the Russian Federation and protected in Russia at the federal level.
all - grass of chinese brake,all - grass of chinese brake,"2000 BC) period, the absence of Longshan-era irrigation or high-yield crops, full evidence of Longshan cultivation of dry-land cereal crops which gave high yields ""only when the soil was carefully cultivated,"" suggest that the plough was known at least by the Longshan culture period and explains the high agricultural production yields which allowed the rise of Chinese civilization during the Shang Dynasty (c.
Pre-Austronesians, in particular, settled Taiwan from the Fujian region, then spread out rapidly into Island Southeast Asia, Micronesia, Island Melanesia, Polynesia, and Madagascar.For the purposes of this list, inventions are regarded as technological firsts developed in China, and as such does not include foreign technologies which the Chinese acquired through contact, such as the windmill from the Middle East or the telescope from early modern Europe.
It also does not include technologies developed elsewhere and later invented separately by the Chinese, such as the odometer, water wheel, and chain pump."
all - grass of common heron's bill,all - grass of common heron's bill,"This is a list of the bird species recorded in Kenya.
The avifauna of Kenya included a total of 1134 confirmed species as of August 2019.
An additional three species are considered ""hypothetical"" (see below) and are not included in the count.
Unless otherwise noted, the list is that of iGoTerra.This list's taxonomic treatment (designation and sequence of orders, families and species) and nomenclature (English and scientific names) are those of The Clements Checklist of Birds of the World, 2019 edition.The following tags highlight several categories of occurrence other than regular migrants and non-endemic residents.
The notes of population status are from the Avibase Bird Checklists of the World.
(E) Endemic - a species endemic to Kenya
(I) Introduced - a species introduced to Kenya as a consequence, direct or indirect, of human actions
(H) Hypothetical - a species recorded but not confirmed in Kenya"
all - grass of decumbent bugle,Ajuga,"Ajuga , also known as bugleweed, ground pine, carpet bugle, or just bugle, is a genus of 40 species annual and perennial herbaceous flowering plants in the mint family Lamiaceae, with most species native to Europe, Asia, and Africa, but also two species in southeastern Australia.
Ajuga campylanthoides C.Y.Wu & C.Chen – Tibet, central China
Ajuga ciliata Bunge – China, Korea, Japan
Ajuga dictyocarpa Hayata – - China, Vietnam, Taiwan, Ryukyu Islands
Ajuga forrestii Diels – China, Tibet, Nepal
Ajuga incisia Maxim – Honshu Island in Japan
– central + eastern Africa, southern Asia (Saudi Arabia, Iran, India, China, Indonesia, etc.), New Guinea
Ajuga lobata D.Don – China, Nepal, Bhutan, Assam, Myanmar
Ajuga makinoi Nakai – Honshu Island in Japan
Ajuga nipponensis Makino – China, Korea, Japan, Vietnam, Taiwan
Ajuga pygmaea A.Gray – China, Japan, Taiwan, Ryukyu Islands
Ajuga relicta P.H.Davis – Turkey
Ajuga sciaphila W.W.Sm..- southwestern China"
all - grass of japanese inula,all - grass of japanese inula,"The Gobi Desert () is a large desert or brushland region in Asia. It covers parts of Northern and Northeastern China and of Southern Mongolia. The desert basins of the Gobi are bounded by the Altai Mountains and the grasslands and steppes of Mongolia on the north, by the Taklamakan Desert to the west, by the Hexi Corridor and Tibetan Plateau to the southwest and by the North China Plain to the southeast. The Gobi is notable in history as part of the great Mongol Empire and as the location of several important cities along the Silk Road.
The Gobi is a rain shadow desert, formed by the Tibetan Plateau blocking precipitation from the Indian Ocean reaching the Gobi territory."
all - grass of japanese st. johnswort,all - grass of japanese st. johnswort,"5. Woodsy Stream in Spring   [ black gum, common elder or elderberry, cross vine, deer's tongue panic grass, fragile or brittle fern, green ash, hairy cap moss, Higan cherry, hill Senecio, hispid buttercup, hog peanut, Jack-in-the-pulpit, jewel weed, lady fern, oak daedalia, red maple, wild lily-of-the-valley, wool sower gall ]
Woods in Summer   [ American chestnut, beech, black gum, chestnut oak, Christmas fern, cicadas, hay-scented fern, Indian cucumber, marginal shield fern, mountain laurel, New York fern, partridgeberry, pinxter flower, polypody fern, rattlesnake orchid, shadbush, slime mold, spiny-bellied spider, spotted wintergreen, tickle grass, trailing arbutus, Virginia creeper, witch hazel ]
Swamp in Fall   [ American holly, arrowwood, cinnamon fern, crayfish, fern-leaf moss, holly leaf miner, holly leaf spot, joe-pye weed, mnium moss, pilose aster, poison sumac, red maple, silky dogwood, skunk cabbage, smooth alder, song sparrow, sphagnum moss, spreading goldenrod, swamp highbush blueberry, Turk's-cap lily, tussock sedge, winterberry holly ]"
all - grass of spreading hedyotis,all - grass of spreading hedyotis,"Geum radiatum is a rare species of flowering plant in the rose family known by the common names spreading avens, Appalachian avens, and cliff avens.
It is native to the region of the border between Tennessee and North Carolina in the southeastern United States, where there are eleven known populations remaining.
The plant was federally listed as an endangered species in 1990.Geum radiatum is a perennial herb with a horizontal rhizome spreading beneath the soil.
Its closest relative is probably Geum peckii, which does not occur in the same region.Geum radiatum grows on a few tall mountaintops above 1310 meters (4367 feet) elevation in the southern Appalachians in eastern Tennessee and western North Carolina.
Threats to the remaining populations include erosion, soil compaction from trampling, and development of facilities for recreation, such as trails, ski slopes, parking lots, and bridges.
Some of the few remaining populations are small, with fewer than 50 plants, and the number of genetically separate individuals may be smaller."
all - grass of stringy stonecrop,all - grass of stringy stonecrop,"Sedum is a large genus of flowering plants in the family Crassulaceae, members of which are commonly known as stonecrops. The genus has been described as containing up to 600 species, subsequently reduced to 400–500. They are leaf succulents found primarily in the Northern Hemisphere, but extending into the southern hemisphere in Africa and South America. The plants vary from annual and creeping herbs to shrubs. The plants have water-storing leaves. The flowers usually have five petals, seldom four or six. There are typically twice as many stamens as petals. Various species formerly classified as Sedum are now in the segregate genera Hylotelephium and Rhodiola.
Well-known European species of Sedum are Sedum acre, Sedum album, Sedum dasyphyllum, Sedum reflexum (also known as Sedum rupestre) and Sedum hispanicum."
all-grass chinese pyrola,all-grass chinese pyrola,"Verticillium wilt is a wilt disease affecting over 350 species of eudicot plants.
It is caused by six species of Verticillium fungi: V.
""Plant pathogenic Verticillium species: how many of them are there?"" Molecular Plant Pathology 4(4).297-305.
Many eudicot species and cultivars are resistant to the disease and all monocots, gymnosperms and ferns are immune.
There are no fungicides characterized for the control of this disease but soil fumigation with chloropicrin has been proven successful in dramatically reducing Verticillium wilt in diverse crops such as vegetables using plasticulture production methods, and in potato production in North America (non-tarped).
Additional strategies to manage the disease include crop rotation, the use of resistant varieties and deep plowing (to accelerate the decomposition of infected plant residue).
In recent years, pre-plant soil fumigation with chloropicrin in non-tarped, raised beds has proven to be economically viable and beneficial for reducing wilt disease and increasing yield and quality of potato in North America."
all-grass of common dayflower,all-grass of common dayflower,This is a list of plants that are native to the U.S. state of Michigan.
all-grass of common ducksmeat,common ducksmeat,"It is a perennial aquatic plant usually growing in dense colonies, forming a mat on the water surface.
It produces several minute roots.
It also produces a pouch containing male and female flowers.
The top part dies in the fall and the plant often overwinters as a turion.
S.polyrhiza is an ideal system for biofuels, bioremediation, and carbon cycling due to its aspects of fast-growing, direct contact with media, and smallest genome size (~150 Mb).
The results provide insights into how this organism is adapted to rapid growth and an aquatic lifestyle.S. polyrhiza, living in pond, differs development from terrestrial plants in morphology and physiology.
Turions could also be induced by plant hormone ABA in the lab.
Transmission electron microscopy l of turions showed in comparison to fronds shrunken vacuoles, smaller intercellular space, and abundant starch granules surrounded by thylakoid membranes.
Turions accumulated more than 60% starch in dry mass after two weeks of ABA treatment."
all-grass of common knotgrass,all-grass of common knotgrass,"Knotgrass or knot grass is the common name for several plants and a moth and may refer to:

Paspalum distichum, a species of grass
Polygonum, a genus of plants in the buckwheat family, more often known as knot weed
Acronicta rumicis, a moth of the family Noctuidae"
all-grass of discolor cinquefoil,all-grass of discolor cinquefoil,"Potentilla  is a genus containing over 300 species of annual, biennial and perennial herbaceous flowering plants in the rose family, Rosaceae. They are usually called cinquefoils in English. Potentilla are generally only found throughout the northern continents of the world (holarctic), though some may even be found in montane biomes of the New Guinea Highlands. Several other cinquefoils formerly included here are now separated in distinct genera - notably the popular garden shrub P. fruticosa, now Dasiphora fruticosa.
Some species are called tormentils, though this is often used specifically for common tormentil (P. erecta). Others are referred to as barren strawberries, which may also refer to P. sterilis in particular, or to the closely related but not congeneric Waldsteinia fragarioides."
all-grass of glabrous sarcandra,Sarcandra glabra,"Sarcandra glabra is an herb native to Southeast Asia.  It is also known as herba sarcandrae or glabrous sarcandra herb.
Aromatic oils may be extracted from the leaves.  The entire plant has anti-stress, antioxidant, anti-inflammatory, detoxifying, blood activating, and anti-bacterial effects.

"
all-grass of lilac pink,all-grass of lilac pink,"Scabiosa graminifolia, grass-leaved scabious is a species of scabious found in the Mediterranean region. The plant grows on rocky slopes. As its name indicates, this species has grass-like leaves. Its flowers are pink or lilac and open in summer."
aloe vera,aloe vera,"Aloe vera ( or ) is a succulent plant species of the genus Aloe. An evergreen perennial, it originates from the Arabian Peninsula, but grows wild in tropical, semi-tropical, and arid climates around the world. It is cultivated for agricultural and medicinal uses. The species is also used for decorative purposes and grows successfully indoors as a potted plant.It is found in many consumer products including beverages, skin lotion, cosmetics, or ointments for minor burns and sunburns.  There is little clinical evidence for the effectiveness or safety of Aloe vera extract as a cosmetic or medicine."
american ginseng,american ginseng,"American ginseng (Panax quinquefolius, Panacis quinquefolis) is a herbaceous perennial plant in the ivy family, commonly used as Chinese or traditional medicine. It is native to eastern North America, though it is also cultivated in China. Since the 18th century, American ginseng (P. quinquefolius) has been primarily exported to Asia, where it is highly valued for perceived superior quality and sweet taste."
amomum fruit,amomum fruit,"Cornus amomum, the silky dogwood or kinnikinnik, is a species of dogwood native to eastern North America, from Ontario and Quebec south to Arkansas and Georgia. It is also found in other parts of North America. Other names for this dogwood have included red willow, silky cornel, and squawbush.It is a deciduous shrub growing to 5 m tall. The leaves are opposite, up to 10 cm (4 in) long and 7 cm (2 3⁄4 in) broad, oval with an acute apex. The flowers are produced in cymes. The fruit is a small blue drupe."
anemarrhena rhizome,anemarrhena rhizome,"Anemarrhena is a plant genus in family Asparagaceae, subfamily Agavoideae. It has only one species, Anemarrhena  asphodeloides, native to China, Korea, and Mongolia. Some authors have placed it in its own family, Anemarrhenaceae.

"
angelica root,angelica root,"Angelica archangelica, commonly known as garden angelica, wild celery, and Norwegian angelica, is a biennial plant from the family Apiaceae, a subspecies of which is cultivated for its sweetly scented edible stems and roots. Like several other species in Apiaceae, its appearance is similar to several poisonous species (Conium, Heracleum, and others), and should not be consumed unless it has been identified with absolute certainty. Synonyms include Archangelica officinalis Hoffm. and Angelica officinalis Moench."
angular solomon's seal root,angular solomon's seal root,"Polygonatum odoratum (angular Solomon's seal or scented Solomon's seal) syn. P. officinale, is a species of flowering plant in the family Asparagaceae, native to Europe, the Caucasus, Siberia, the Russian Far East, China, Mongolia, Korea and Japan. In the United Kingdom it is one of three native species of the genus, the others being P. multiflorum and P. verticillatum."
apricot seed,apricot seed,"However, studies have found the compounds to be ineffective in the treatment of cancer, as well as potentially toxic or lethal when taken by mouth, due to cyanide poisoning.Apricot kernels can cause potentially fatal cyanide poisoning when consumed.
Symptoms include nausea, fever, headaches, insomnia, increased thirst, lethargy, nervousness, various aches and pains in joints and muscles, and a drop in blood pressure.Apricot kernels are sometimes added to soaps or scrubs as an exfoliant.In 1993 the New York State Department of Agriculture and Markets tested the cyanide content of two 220 gram (8 oz) packages of bitter apricot kernels imported from Pakistan that were being sold in health-food stores as a snack.
There was one reported case in the medical literature of cyanide toxicity from apricot kernels from 1979 to 1998 in the United States, a non-fatal poisoning by purchased apricot kernels."
arc shell,arc shell,"An electric arc furnace (EAF) is a furnace that heats charged material by means of an electric arc.
Industrial arc furnaces range in size from small units of approximately one ton capacity (used in foundries for producing cast iron products) up to about 400 ton units used for secondary steelmaking. Arc furnaces used in research laboratories and by dentists may have a capacity of only a few dozen grams. Industrial electric arc furnace temperatures can be up to 1,800 °C (3,272 °F), while laboratory units can exceed 3,000 °C (5,432 °F).
Arc furnaces differ from induction furnaces in that the charge material is directly exposed to an electric arc and the current in the furnace terminals passes through the charged material."
areca catechu l.,areca catechu l.,"Areca catechu is a species of palm which grows in much of the tropical Pacific, Asia, and parts of east Africa.
The palm is believed to have originated in the Philippines, but is widespread in cultivation and is considered naturalized in southern China (Guangxi, Hainan, Yunnan), Taiwan, India, Bangladesh, the Maldives, Ceylon, Cambodia, Laos, Thailand, Vietnam, Malaysia, Indonesia, New Guinea, many of the islands in the Pacific Ocean, and also in the West Indies.The species has many common names including the areca palm, areca nut palm, betel palm, Indian nut, Pinang palm, Chinese language/Mandarin: 檳榔, Tamil:  கமுகு, Tagalog: bunga, Indonesia/Malay: pinang, Tamil: கமுகு ""kamuhu"", Telugu: ""వక్క or vakka"", Malayalam:adakka, and Kannada: ಅಡಕೆ or ಅಡಿಕೆ Adike.
Normally it is known as the pinang tree in Malaysia.
Areca is derived from a local name from the Malabar Coast of India, and catechu is from another Malay name for this palm, caccu."
areca nut,areca nut,"The areca nut ( or ) is the fruit of the areca palm (Areca catechu), which grows in much of the tropical Pacific (Melanesia and Micronesia), Southeast and South Asia, and parts of east Africa.
It is commonly referred to as betel nut so it is easily confused with betel (Piper betle) leaves that are often used to wrap it (paan).
The term areca originated from the Kannada word adike (ಅಡಿಕೆ) and dates from the 16th century, when Dutch and Portuguese sailors took the nut from Kerala to Europe.
Consumption has many harmful effects on health and is carcinogenic to humans.
Various compounds present in the nut, including arecoline (the primary psychoactive ingredient which is similar to nicotine), contribute to histologic changes in the oral mucosa.
Consumption by hundreds of millions of people worldwide – mainly with southern and eastern Asian origins – has been described as a ""neglected global public health emergency""."
armand clematis stem,armand clematis stem,"Clematis
is a genus of about 300 species within the buttercup family, Ranunculaceae.  Their garden hybrids have been popular among gardeners, beginning with Clematis × jackmanii, a garden standby since 1862; more hybrid cultivars are being produced constantly. They are mainly of Chinese and Japanese origin. Most species are known as clematis in English, while some are also known as traveller's joy, a name invented for the sole British native, C. vitalba, by the herbalist John Gerard; virgin's bower for C. terniflora, C. virginiana, and C. viticella; old man's beard, applied to several with prominent seedheads; leather flower for those with fleshy petals; or vase vine for the North American Clematis viorna."
arnica,arnica,"Arnica  is a genus of perennial, herbaceous plants in the sunflower family (Asteraceae). The genus name Arnica may be derived from the Greek arni, ""lamb"", in reference to the plants' soft, hairy leaves. Arnica is also known by the names mountain tobacco and, confusingly, leopard's bane and wolfsbane—two names that it shares with the entirely unrelated genus Aconitum.
This Circumboreal and montane (subalpine) genus occurs mostly in the temperate regions of western North America, with a few species native to the Arctic regions of northern Eurasia and North America.Several species, such as Arnica montana and A. chamissonis, contain helenalin, a sesquiterpene lactone that is a major ingredient in anti-inflammatory preparations (used mostly for bruises).
Arnica species are used as food plants by the larvae of some Lepidoptera species including Bucculatrix arnicella.
Arnica was previously classified in the tribe Senecioneae because it has a flower or pappus of fine bristles."
ashwagandha,ashwagandha,"Withania somnifera, known commonly as ashwagandha, Indian ginseng, poison gooseberry, or winter cherry is a plant in the Solanaceae or nightshade family. Several other species in the genus Withania are morphologically similar. Although commonly used as a medicinal herb in Ayurvedic medicine, there is no conclusive clinical evidence that it is effective for treating any ailment.

"
asiatic pennywort herb,asiatic pennywort herb,"Centella asiatica, commonly known as centella, Asiatic pennywort or Gotu kola, is a herbaceous, frost-tender perennial plant in the flowering plant family Apiaceae. It is native to the wetlands in Asia. It is used as a culinary vegetable and as a medicinal herb."
atractylodes rhizome,atractylodes rhizome,"Cāng zhú (苍术 or 蒼术 or 蒼朮), also known as black atractylodes rhizome or Rhizoma Atractylodes, is a Chinese herbal medicine.  It is the dried rhizome of Atractylodes lancea (Thunb.) DC., Atractylodes chinensis (DC.) Koidz, or certain other local species including Atractylodes japonica Koidz.  (One study suggested that A. chinensis is a subspecies of A. lancea, and A. chinensis var. liaotungensis is a subspecies of A. coreana)  The medicine is distinguished from bái zhú (白术 or 白朮, white atractylodes rhizome from Atractylodes macrocephala), which is typically cultivated, whereas cāng zhú more often tends to be collected from the wild.  It is believed that the distinction between cāng zhú and bái zhú emerged in relatively modern times; a single drug ""zhú"" described in the Shen nong ben cao jing probably included many Atractylodes species."
bacillus coagulans,bacillus coagulans,"The organism was first isolated and described as Bacillus coagulans in 1915 by B.W. Hammer at the Iowa Agricultural Experiment Station as a cause of an outbreak of coagulation in evaporated milk packed by an Iowa condensary.
Separately isolated in 1935 and described as Lactobacillus sporogenes in the fifth edition of Bergey's Manual, it exhibits characteristics typical of both genera Lactobacillus and Bacillus, its taxonomic position between the families Lactobacillaceae and Bacillaceae was often debated.
However, in the seventh edition of Bergey's, it was finally transferred to the genus Bacillus.
DNA-based technology was used in distinguishing between the two genera of bacteria which are morphologically similar and possess similar physiological and biochemical characteristics.B. coagulans is a Gram-positive rod (0.9 by 3.0 to 5.0 μm in size), catalase positive, spore-forming, motile, and a facultative anaerobe.
It may appear Gram-negative when entering the stationary phase of growth.
VP and MR (methyl-red) tests are positive."
baikal skullcap root,baikal skullcap root,"Scutellaria baicalensis, with the common name Baikal skullcap or Chinese skullcap, is a species of flowering plant in the family Lamiaceae."
bamboo juice,bamboo juice,Bamboo chicken is a chicken curry prepared by stuffing the chicken in the bamboo shoot and then cooked on charcoal. Bamboo chicken is an oil free and nutritionally rich dish.
bark of largeleaf chinese ash,largeleaf chinese ash,"Below is a list of Canadian plants by genus. Due to the vastness of Canada's biodiversity, this page is divided.
Many of the plants seen in Canada are introduced by either intentionally or accidentally.  N indicated native and X indicated exotic.  Those plants whose status is unknown are marked with a ?.
A | B | C | D | E | F | G | H | I J K | L | M | N | O | P Q | R | S | T | U V W | X Y Z"
bee pollen,bee pollen,"Bee pollen is a ball or pellet of field-gathered flower pollen packed by worker honeybees, and used as the primary food source for the hive. It consists of simple sugars, protein, minerals and vitamins, fatty acids, and a small percentage of other components. Also called bee bread, or ambrosia, it is stored in brood cells, mixed with saliva, and sealed with a drop of honey. Bee pollen is harvested as food for humans, with various health claims, one of them being that the fermentation process makes it much more potent than simple flower pollen."
belladonna,belladonna,"Atropa belladonna, commonly known as belladonna or deadly nightshade, is a perennial herbaceous plant in the nightshade family Solanaceae, which includes tomatoes, potatoes, and eggplant (aubergine).
It is native to Europe, North Africa, and Western Asia.
Its distribution extends from Great Britain in the west to western Ukraine and the Iranian province of Gilan in the east.
These tropane alkaloids appear to be common in the family Solanaceae, as they are also present in plants of the genera Brugmansia, Datura and Hyoscyamus, of the same family but in different subfamilies and tribes than the nightshade.
Atropa belladonna has unpredictable effects.
The antidote for belladonna poisoning is physostigmine or pilocarpine, the same as for atropine.It has a long history of use as a medicine, cosmetic, and poison.
The name belladonna is derived from Italian for ""beautiful woman"", as during the Renaissance, the herb was used in eyedrops by women to dilate the pupils of the eyes to make them appear seductive."
benincasae semen,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
Tsumura (ツムラ) is the leading maker;[3] they make 128 of the 148 kampo]] medicines.
The ""count"" column shows in how many of these 128 formulae the herb is found.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" is usually substituted in Chinese.
""梨"" or ""藜"" is usually substituted in Japanese."
benzoin,Benzoin (organic compound),"Benzoin ( or ) is an organic compound with the formula PhCH(OH)C(O)Ph.  It is a hydroxy ketone attached to two phenyl groups. It appears as off-white crystals, with a light camphor-like odor. Benzoin is synthesized from benzaldehyde in the benzoin condensation.  It is chiral and it exists as a pair of enantiomers: (R)-benzoin and (S)-benzoin.
Benzoin is not a constituent of benzoin resin obtained from the benzoin tree (Styrax) or tincture of benzoin. The main component in these natural products is benzoic acid."
berberine,berberine,"Berberine is a quaternary ammonium salt from the protoberberine group of benzylisoquinoline alkaloids found in such plants as Berberis (e.g. Berberis vulgaris – barberry, Berberis aristata – tree turmeric, Mahonia aquifolium – Oregon-grape, Hydrastis canadensis – goldenseal, Xanthorhiza simplicissima – yellowroot, Phellodendron amurense – Amur cork tree, Coptis chinensis – Chinese goldthread, Tinospora cordifolia, Argemone mexicana – prickly poppy, and Eschscholzia californica – Californian poppy). Berberine is usually found in the roots, rhizomes, stems, and bark.Due to berberine's strong yellow color, Berberis species were used to dye wool, leather, and wood.  Wool is still dyed with berberine in northern India. Under ultraviolet light, berberine shows a strong yellow fluorescence, so it is useful in histology for staining heparin in mast cells. As a natural dye, berberine has a color index of 75160."
