,HerbTopicPair,Text,Medical,IsHarm,Herb
10,"('Cinnamomum cassia', 'Health effects')","Chinese cassia (called r ugu ;    in Chinese) is produced primarily in the southern provinces of Guangxi, Guangdong, and Yunnan. It is considered one of the 50 fundamental herbs in traditional Chinese medicine.Due to a blood-thinning component called coumarin that could damage the liver if consumed in larger amounts, European health agencies have warned against consuming high amounts of cassia. Other bioactive compounds found in the bark, powder and essential oils of C. cassia are cinnamaldehyde and styrene. In high doses these substances can also be toxic for humans.",Cerebral cortex*C0007776|Adrenal Cortex*C0001613|Structure of cortex of kidney*C0022655|Liver*C0023884,"["" 'health effects'""]",Cinnamomum cassia
11,"('Cissampelos pareira', 'Medicinal uses')","Cissampelos pareira is used in Chinese herbology, where it is called x  sh ng t ng (Chinese:    ) or (Chinese:    ). The species is also known as abuta and called laghu patha in Ayurvedic medicine. In Tamil Nadu it is called ponmusutai and it is used for a number of medicinal purposes.
Some attention has been paid to it in Kenya, Tanzania, and other places for its purported antimalarial properties in particular, as well as in India for its antiviral properties, especially against Dengue virus.",Attention*C0004268,['NO_MATCH'],Cissampelos pareira
12,"('Coptis chinensis', 'Etymology')",Coptis chinensis Franch. var. chinensis(syn. Coptis teeta Wallich var. chinensis),,['NO_MATCH'],Coptis chinensis
13,"('Coptis chinensis', 'Traditional uses')","Coptis chinensis is one of the 50 fundamental herbs used in traditional Chinese medicine, where it is called du n   hu ngli n (Chinese:     ).",,['NO_MATCH'],Coptis chinensis
14,"('Croton tiglium', 'Traditional uses')","Croton tiglium is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name b  d u (Chinese:   ).  C. tiglium is known as Japaala/      or ""Jayapala"" in Sinhala and used in Sinhala traditional medical system of Sri Lanka and in Sanskrit. The seeds are called Jam lgo a in Hindi, Marathi, and Urdu, and are well-known for their toxicity (severe purgative effect). They are used to treat constipation after the seeds have undergone a traditional Ayurvedic detoxification process with cow's milk (Godugdha). This is referred to as  odhana, a general term for detoxification. The plant is poisonous with the bark used as an arrow poison and the seeds used to poison fish.",Cerebral cortex*C0007776|Term Birth*C0233324|Milk (body substance)*C0026131|Constipation*C0009806|Adrenal Cortex*C0001613|Structure of cortex of kidney*C0022655,['NO_MATCH'],Croton tiglium
15,"('Datura metel', 'Toxicity')","All parts of Datura plants contain dangerous levels of highly poisonous tropane alkaloids and may be fatal if ingested by humans or other animals, including livestock and pets. In some places, it is prohibited to buy, sell, or cultivate Datura plants.Datura metel may be toxic if ingested in a tiny quantity, symptomatically expressed as flushed skin, headaches, hallucinations, and possibly convulsions or even a coma. The principal toxic elements are tropane alkaloids. Ingesting even a single leaf can lead to severe side effects.",Comatose*C0009421|Unmarried*C0087136|Hallucinations*C0018524|Headache*C0018681|Convulsions*C4048158|Seizures*C0036572|Flushing*C0016382,"["" 'toxicity'""]",Datura metel
16,"('Datura metel', 'Use in traditional medicine')","Datura metel is one of the 50 fundamental herbs used in traditional Chinese medicine, where it is called y ng j n hu  (   ).  However, the ingestion of D. metel in any form is dangerous and should be treated with extreme caution.  According to Drug & Cosmetic Act 1940 & Rule 1995, Datura metel is banned in India for use in Ayurvedic medicine.",,['NO_MATCH'],Datura metel
17,"('Datura stramonium', 'Etymology and common names')","The genus name is derived from the plant's Hindi name, dhat ra, ultimately from Sanskrit dhatt ra 'white thorn-apple'. The origin of Neo-Latin stramonium is unknown; the name Stramonia was used in the 17th century for various Datura species.In the United States, the plant is called ""jimsonweed"", or more rarely ""Jamestown weed"" deriving from the town of Jamestown, Virginia, where English soldiers consumed it while attempting to suppress Bacon's Rebellion. They spent 11 days in altered mental states:

The James-Town Weed (which resembles the Thorny Apple of Peru, and I take to be the plant so call'd) is supposed to be one of the greatest coolers in the world. This being an early plant, was gather'd very young for a boil'd salad, by some of the soldiers sent thither to quell the rebellion of Bacon (1676); and some of them ate plentifully of it, the effect of which was a very pleasant comedy, for they turned natural fools upon it for several days: one would blow up a feather in the air; another would dart straws at it with much fury; and another, stark naked, was sitting up in a corner like a monkey, grinning and making mows [grimaces] at them; a fourth would fondly kiss and paw his companions, and sneer in their faces with a countenance more antic than any in a Dutch droll.In this frantic condition they were confined, lest they should, in their folly, destroy themselves though it was observed that all their actions were full of innocence and good nature. Indeed, they were not very cleanly; for they would have wallowed in their own excrements if they had not been prevented. A thousand such simple tricks they played, and after eleven days returned themselves again, not remembering anything that had passed.

Common names for D. stramonium vary by region and include thornapple and moon flower, and it has the Spanish name toloache. Other names for the plant include hell's bells, devil's trumpet, devil's weed, tolguacha, Jamestown weed, stinkweed, locoweed, pricklyburr, false castor oil plant, devil's cucumber, and thornapple.",Respiratory Diaphragm*C0011980|Marijuana Abuse*C0024809|Ataxia Telangiectasia*C0004135|Air (substance)*C0001861|Mental Recall*C0034770|Mowat-Wilson syndrome*C1856113|Sitting position*C0277814|Disease*C0012634|Marijuana Abuse*C0024809|Feathers*C0015731|furuncle*C0242301|Marijuana Abuse*C0024809,['NO_MATCH'],Datura stramonium
18,"('Datura stramonium', 'Toxicity')","All parts of Datura plants contain dangerous levels of the tropane alkaloids atropine, hyoscyamine, and scopolamine, which are classified as deliriants, or anticholinergics. The risk of fatal overdose is high among uninformed users, and many hospitalizations occur among recreational users who ingest the plant for its psychoactive effects.The amount of toxins varies widely from plant to plant. As much as a 5:1 variation can be found between plants, and a given plant's toxicity depends on its age, where it is growing, and the local weather conditions. Additionally, within a given plant, toxin concentration varies by part and even from leaf to leaf. When the plant is younger, the ratio of scopolamine to atropine is about 3:1; after flowering, this ratio is reversed, with the amount of scopolamine continuing to decrease as the plant gets older. In traditional cultures, a great deal of experience with and detailed knowledge of Datura was critical to minimize harm. An individual seed contains about 0.1 mg of atropine, and the approximate fatal dose for adult humans is >10 mg atropine or >2 4 mg scopolamine.Datura intoxication typically produces delirium, hallucination, hyperthermia, tachycardia, bizarre behavior, urinary retention, and severe mydriasis with resultant painful photophobia that can last several days. Pronounced amnesia is another commonly reported effect. The onset of symptoms generally occurs around 30 to 60 minutes after ingesting the herb. These symptoms generally last from 24 to 48 hours, but have been reported in some cases to last as long as 2 weeks.As with other cases of anticholinergic poisoning, intravenous physostigmine can be administered in severe cases as an antidote.",Delirium*C0011206|Hallucinations*C0018524|Amnesia*C0002622|Photophobia*C0085636|Urinary Retention*C0080274|Weather*C0043085|Drug Overdose*C0029944|Fever*C0015967|Hospitalization*C0019993|Tachycardia*C0039231|Pain*C0030193|Disease*C0012634|Mydriasis*C0026961|Poisoning*C0032343|Mental concentration*C0086045,"["" 'toxicity'""]",Datura stramonium
19,"('Datura stramonium', 'Use')","The active agent in datura is atropine which has been used in traditional medicine and recreational abuse over centuries. The leaves are generally smoked either in a cigarette or a pipe. During the late 18th century, James Anderson, the English Physician General of the East India Company, learned of the practice and popularized it in Europe.The Zuni people once used datura as an analgesic to render patients unconscious while broken bones were set. The Chinese also used it as a form of anesthesia during surgery. 
 John Gerard's Herball (1597) states,
[T]he juice of Thornapple, boiled with hog's grease, cureth all inflammations whatsoever, all manner of burnings and scaldings, as well of fire, water, boiling lead, gunpowder, as that which comes by lightning and that in very short time, as myself have found in daily practice, to my great credit and profit.
William Lewis reported in the late 18th century that the juice could be made into ""a very powerful remedy in various convulsive and spasmodic disorders, epilepsy and mania,"" and was also ""found to give ease in external inflammations and haemorrhoids.""Henry Hyde Salter discusses D. stramonium as a treatment for asthma in his 19th-century work On Asthma: its Pathology and Treatment. 
 The ancient inhabitants of what became central and southern California used to ingest the small black seeds of datura to ""commune with deities through visions"". Across the Americas, other indigenous peoples, such as the Algonquian, Navajo, Cherokee, Luise o and the indigenous peoples of Marie-Galante also used this plant in sacred ceremonies for its hallucinogenic properties. In Ethiopia, some students and debtrawoch (lay priests), use D. stramonium to ""open the mind"" to be more receptive to learning, and creative and imaginative thinking.The common name ""datura"" has its origins in India, where the sister species Datura metel is considered particularly sacred   believed to be a favorite of Shiva in Shaivism. Both Datura stramonium and D. metel have reportedly been used by some sadhus and charnel ground ascetics, such as the Aghori as both an entheogen and ordeal poison. It was sometimes mixed with cannabis as well as highly poisonous plants like Aconitum ferox to intentionally create dysphoric experiences. They used unpleasant or toxic plants such as these in order to achieve spiritual liberation (moksha) in settings of extreme horror and discomfort.Among its sacred and visionary purposes, jimson weed has also garnered a reputation for its magical uses in various cultures throughout history. In his book, The Serpent and the Rainbow, Wade Davis identified D. stramonium, called ""zombi cucumber"" in Haiti, as a central ingredient of the concoction vodou priests use to create zombies. However others have noted that the process of zombification is not directly performed by vodou priests of the loa but rather, bokors.  In European witchcraft, D. stramonium was also a common ingredient used for making witches' flying ointment along with other poisonous plants of the nightshade family. It was often responsible for the hallucinogenic effects of magical or lycanthropic salves and potions.",Unconscious State*C0041657|Set (Psychology)*C0036849|Learning*C0023185|Fracture*C0016658|Drug abuse*C0013146|Drinking Water*C0599638|Lightning (phenomenon)*C0023701|Inflammation*C0021368|Fire - disasters*C0016141|furuncle*C0242301|Burn injury*C0006434|Asthma*C0004096|Hemorrhoids*C0019112|Muscle Cramp*C0026821|Spasm*C0037763|Epilepsy*C0014544|Convulsions*C4048158|Seizures*C0036572|Disease*C0012634|Inflammation*C0021368|Manic*C0338831|Vision*C0042789|Respiratory Diaphragm*C0011980|Imagination*C0020913|Learning*C0023185,['NO_MATCH'],Datura stramonium
20,"('Dendrobium nobile', 'Toxicity')",Dendrobium nobile has been added to the EU novel foods catalogue as it is deemed unsafe for human consumption within food supplements without a safety assessment.,Consumption of goods*C0009830,"["" 'toxicity'""]",Dendrobium nobile
21,"('Dichroa febrifuga', 'Traditional Chinese medicine')","Dichroa febrifuga is an important herb in traditional Chinese medicine, where it is considered one of the 50 fundamental herbs. The alkaloids febrifugine and isofebrifugine are believed to be responsible for its antimalarial effects. In traditional preparations, it is used in conjunction with other plants such as Glycyrrhiza glabra (licorice), Ziziphus jujube and Zingiber officinale (ginger).",,['NO_MATCH'],Dichroa febrifuga
22,"('Eucommia ulmoides', 'Taxonomy')","Eucommia ulmoides is the sole living species of the genus Eucommia. Eucommia is the only genus of the family Eucommiaceae, and was formerly considered to be a separate order, the Eucommiales. It is also sometimes known as ""Gutta-percha tree"" or ""Chinese rubber tree"", but is not related to either the true Gutta-percha tree of southeastern Asia, nor to the South American rubber tree.",,['NO_MATCH'],Eucommia ulmoides
23,"('Eucommia ulmoides', 'Uses')","It is one of the 50 fundamental herbs used in Chinese herbology, where it is called d zh ng (Chinese:   ).
Because of the low production and high demand for natural rubber in China, a unique process has been developed to manufacture elastic materials with Eucommia ulmoides gum (EUG) as substitutes for natural rubber products. 
Unlike the latex used to produce natural rubber, the EUG is the polymer trans-1,4-polyisoprene. Thus materials made from EUG may demonstrate characteristics other than those of natural rubber, such as higher elastics, lower thermoplastic temperature, etc.",Gingiva*C0017562|Body Temperature*C0005903,['NO_MATCH'],Eucommia ulmoides
24,"('Euphorbia pekinensis', 'Medicinal uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it is called d j  (Chinese:   ).",,['NO_MATCH'],Euphorbia pekinensis
25,"('Forsythia suspensa', 'Cultivation and uses')","The hybrids Forsythia   intermedia (F. suspensa   F. viridissima) and Forsythia    variabilis (F. ovata   F. suspensa) have been produced in cultivation.  Forsythia intermedia is a hybrid between F. suspensa and F. viridissima. Many cultivars have been selected from this cross including dwarf and compact forms.Forsythias are popular early spring flowering shrubs in gardens and parks, especially during Eastertide; Forsythias are nicknamed the Easter Tree because its branches appear to be waving in praise of the resurrection of Jesus. Two are commonly cultivated for ornament, Forsythia   intermedia and Forsythia suspensa. They are both spring flowering shrubs, with yellow flowers. They are grown and prized for being tough, reliable garden plants. Forsythia   intermedia is the more commonly grown, is smaller, has an upright habit, and produces strongly coloured flowers. Forsythia suspensa is a large to very large shrub, can be grown as a weeping shrub on banks, and has paler flowers. Many named garden cultivars can also be found. Forsythia is frequently forced indoors in the early spring.
Commercial propagation is usually by cuttings, taken from green wood after flowering in late spring to early summer; alternatively, cuttings may be taken between November and February. Low hanging boughs often take root, and can be removed for transplanting. A common practice (known as layering) is to place a weight over a branch to keep it on the ground and, after it has rooted, to dig up the roots and cut the rooted part from the main branch; this can then be planted.
Forsythia suspensa is considered one of the 50 fundamental herbs in Chinese herbology. Forsythia sticks are used to bow a Korean string instrument called ajaeng.",Natural Springs*C3179043|Crying*C0010399|Dwarfism*C0013336|Pallor*C0030232|Behaviorial Habits*C0018464|Tooth root structure*C0040452|Body Weight*C0005910|Wood material*C0043217|Natural Springs*C3179043|Reproduction*C0035150|Transplanted tissue*C0332835,['NO_MATCH'],Forsythia suspensa
26,"('Gleditsia sinensis', 'Etymology')","In China, Gleditsia sinensis is commonly known as z o ji  (Chinese:   ). The English equivalents include Chinese honey locust (or Chinese honeylocust), soap bean and soap pod.",,['NO_MATCH'],Gleditsia sinensis
27,"('Gleditsia sinensis', 'Traditional medicine')","It is one of the alleged ""50 fundamental herbs"" used in traditional Chinese medicine. Gleditsia sinensis has been used in China for at least 2000 years as a detergent.  The thorns of Gleditsia sinensis are used as a medicinal herb in China and Korea and may have antitumor properties.  The thorns of Gleditsia sinensis LAM. (Leguminosae) have been used in traditional medicine for the treatment of inflammatory diseases including swelling, suppuration, carbuncle and skin diseases.",carbuncle*C0007078|Suppuration*C3203360|Edema*C0013604|Disease*C0012634|Dermatologic disorders*C0037274,['NO_MATCH'],Gleditsia sinensis
28,"('Gleditsia sinensis', 'Scientific study')","G. sinensis has in vitro effects that may be indicative of antiallergic activities, possibly due to the saponins in fruits. Studies in mice suggest that Gleditsia sinensis ethanolic extract could be an effective therapeutic agent for the treatment of allergic asthma.Thorns showed antibacterial activity against a Gram-positive bacterium Xanthomonas vesicatoria and a Gram-negative bacterium Bacillus subtilis.  A lupane acid extracted from the thorns showed in vitro anti-HIV activity.The fruit extract of Gleditsia sinensis also has inhibitory effects on isolated cancer cell cultures.",HIV Seropositivity*C0019699|Asthma*C0004096|Malignant Neoplasms*C0006826,['NO_MATCH'],Gleditsia sinensis
29,"('Glycyrrhiza uralensis', 'Traditional uses')","Liquorice root, or 'radix glycyrrhizae', is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name gancao (kan-tsao; Chinese:   , pinyin: g nc o). It is used in Chinese medicine to harmonize other herbs and to reduce the harsh effects of other herbs. It is usually collected in spring and autumn, when it is removed from the rootlet and dried in the sun. Liquorice root is most commonly produced in the Shanxi, Gansu and Xinjiang regions of China.Liquorice root contains glycyrrhizin, which may affect blood pressure, blood potassium levels or have untoward effects during pregnancy. Overuse of licorice may induce weakness, headache, blurred vision, nosebleed, anxiety, or shortness of breath. Other common side effects may include missed menstrual periods, fluid retention or sexual problems in men.",Tooth root structure*C0040452|Sunlight*C0038817|Blood Pressure*C0005823|Headache*C0018681|Systemic arterial pressure*C1272641|Retention (Psychology)*C0035280|Vision*C0042789|In Blood*C0005768|Dyspnea*C0013404|Epistaxis*C0014591|Menstruation*C0025344|Natural Springs*C3179043|Pregnancy*C0032961|Affect (mental function)*C0001721|Anxiety*C0003467|Blood*C0005767|Desiccation*C0011682|Anxiety Disorders*C0003469|Body Fluids*C0005889,['NO_MATCH'],Glycyrrhiza uralensis
30,"('Hydnocarpus anthelminticus', 'Traditional medicine')","The Vietnamese name for H. anthelmiticus is l  n i (sometimes   i phong t ).  It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name d  f ng z  (   ).",,['NO_MATCH'],Hydnocarpus anthelminticus
31,"('Ilex purpurea', 'Medicinal uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name d ng q ng (Chinese:   ).",,['NO_MATCH'],Ilex purpurea
32,"('Leonurus japonicus', 'Uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it is called y m c o (Chinese:    ), literally ""beneficial herb for mothers"".
In China, Leonurus heterophyllus injection has been studied for its potential to prevent postpartum hemorrhage after caesarian section.Leonurus japonicus, contains several compounds with biology activity,such as guanosine (CAS: 118-00-3), rutin (CAS: 153-18-4), syringic acid (CAS: 530-57-4) and stigmasterol (CAS: 83-48-7). Scientists use the purified compound as a standard in drug screening.",Postpartum Hemorrhage*C0032797,['NO_MATCH'],Leonurus japonicus
33,"('Lobelia chinensis', 'Herbal medicine')","Lobelia chinensis is considered one of the 50 fundamental herbs in Chinese herbology. Historically, L. chinensis has been used in herbal medicine to help stop smoking, however the Food and Drug Administration has banned the use of herbs containing lobeline.",Tobacco smoking behavior*C0453996|Smoking*C0037369,['NO_MATCH'],Lobelia chinensis
34,"('Lobelia chinensis', 'Toxicity and adverse effects')","Lobeliachinensis is considered mildly toxic due to its adverse effects, including vomiting, heartburn, anxiety, vibrating, eclampsia, increased heart-rate, and severe stomach aches.",Eclampsia*C0013537|Heartburn*C0018834|Tachycardia*C0039231|Vomiting*C0042963|Ache*C0234238|Stomach*C0038351|Anxiety*C0003467|Anxiety Disorders*C0003469,"["" 'toxicity and adverse effects'"", "" 'toxicity and adverse effects'"", "" 'toxicity and adverse effects'""]",Lobelia chinensis
35,"('Phellodendron amurense', 'Medicinal use')","It has been used as a Chinese traditional medicine for the treatment of meningitis, bacillary dysentery, pneumonia, tuberculosis, and liver cirrhosis.Used orally to treat abdominal pain, diarrhoea, gastroenteritis and urinary tract infections. Phellodendron amurense may protect cartilage against osteoarthritis  progression.
It may prove to be  a potentially important chemopreventive agent for lung cancer.Phellodendron amurense is able to inhibit prostatic contractility suggesting that it may be useful in the treatment of urological disorders caused by prostatic urethral obstruction such as benign prostatic hyperplasia (BPH).  Nexrutine (bark extract from Phellodendron amurense) may have potential to  prevent  prostate tumor development.Proprietary extracts of Magnolia officinalis and Phellodendron amurense may help overweight/obese people.Compounds in the leaves (quercetin, quercetin-3-O-beta-D-glucoside, quercetin-3-O-beta-D-galactoside and kaempferol-3-O-beta-D-glucoside) demonstrated significant free radical scavenging activity comparable to vitamin E.",Tuberculosis*C0041296|Abdominal Pain*C0000737|Diarrhea*C0011991|Urinary tract infection*C0042029|Degenerative polyarthritis*C0029408|Disease Progression*C0242656|Gastroenteritis*C0017160|Liver Cirrhosis*C0023890|Pneumonia*C0032285|Cartilage*C0007301|Meningitis*C0025289|Obesity*C0028754|Prostate*C0033572|Overweight*C0497406|Cerebral cortex*C0007776|Urethral Obstruction*C0041972|Prostatic Neoplasms*C0033578|Ability*C0085732|Benign Prostatic Hyperplasia*C1704272|Adrenal Cortex*C0001613|Structure of cortex of kidney*C0022655|Cardiac Arrest*C0018790|Urologic Diseases*C0042075|Malignant neoplasm of lung*C0242379,['NO_MATCH'],Phellodendron amurense
36,"('Phellodendron amurense', 'Oil')","Amur cork tree fruit oil is a pressed oil extracted from the fruit of Phellodendron amurense. The bark of the tree is an important herbal medicine in China. The oil has insecticidal properties similar to pyrethrum. The oil contains a variety of biologically active substances, including flavonoids (diosmin), alkaloids (berberine, yatroriccin, palmatine), saponins and coumarins. Medicinal applications of the oil include treatment of pancreatitis, reduction of cholesterol and sugar in blood and the treatment of various skin diseases.",Pancreatitis*C0030305|Dermatologic disorders*C0037274,['NO_MATCH'],Phellodendron amurense
37,"('Platycladus orientalis', 'Taxonomy')","Although generally accepted as the only member of its genus, it has been suggested that the closely related species Microbiota decussata could be included in Platycladus, but this is not widely followed. Other fairly close relatives are Juniperus and Cupressus, both of these genera being graft-compatible with Platycladus. In older texts, Platycladus was often included in Thuja, which is reflected in one of its common names, ""oriental thuja"". But it is only distantly related to the genus Thuja. Differences include its distinct cones, wingless seeds, and its almost scentless foliage.",Retinal Cone*C0206428|Transplanted tissue*C0332835,['NO_MATCH'],Platycladus orientalis
38,"('Platycladus orientalis', 'Etymology')","The binomial Platycladus means ""with broad or flattened shoots"". The qualifier orientalis refers to its native habitat in China.The common name 'arborvitae' is from Latin, 'tree of life', and is based on its association with long life and vitality in Buddhist thought in China. This is probably based on the tree's unchanging evergreen nature in the cold dry climate of northwest China, and its longevity; some of the larger specimens planted around Buddhist temples in China are said to be in excess of 1,000 years old. It is called c b i (  ) in Chinese.",Cold Climate*C0009267|Mental association*C0004083|Desiccation*C0011682,['NO_MATCH'],Platycladus orientalis
