,name_used,summary
Bulbus Fritillariae Cirrhosae,Bulbus Fritillariae Cirrhosae,"Bulbus fritillariae cirrhosae (simplified chinese : 川贝母, pinyin : chuānbèimǔ) is the bulb of the Himalayan frillitary lily. It is used extensively in Chinese herbology, for example in the Baihe Gujin Wan, to ""nourish yin of the lung, resolve phlegm and relieve cough""."
Bulbus Fritillariae Ussuriensis,Bulbus Fritillariae Ussuriensis,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Bulbus Fritillariae thunbergii,Fritillaria thunbergii,"Fritillaria thunbergii is an Asian plant species of the lily family. It is native to Kazakhstan and in Xinjiang Province of western China, though cultivated in other places and naturalized in Japan and in other parts of China.Fritillaria thunbergii produces bulbs up to 30 mm in diameter. Stem is up to 80 cm tall. Flowers are pale yellow, sometimes with a purple tinge or purple markings.
formerly includedFritillaria thunbergii var. puqiensis (G.D.Yu & G.Y.Chen) P.K.Hsiao & S.C.Yu, now called Fritillaria monantha MigoRoyal Botanic Gardens, Kew, Fritillaria thunbergii (Thunberg fritillary)
Flora of China Illustrations vol. 24, figures 114, 1-4 , line drawings
Pacific Bulb Society, Asian Fritillaria Four color photos of several species including Fritillaria thunbergii
TCM Wiki, Traditional Chinese Medicine, Bulbus Fritillariae Thunbergii photos of bulbs, information about use of Fritillaria thunbergii in traditional Chinese medicine"
Bulbus Lilii ,Baihe Gujin Wan,"Baihe Gujin Wan (Chinese: 百合固金丸, pinyin: bǎihégù jīnwán ) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""nourish yin of the lung, resolve phlegm and relieve cough"".  It is used when there is ""deficiency of yin of the lung and the kidney marked by dry cough, scanty expectoration, bloody sputum, dryness and pain in the throat"". Honey is added as a binding agent to make the pill.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Cacumen Tamaricis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Calculus Bovis,Calculus Bovis,"In China these are manufactured from cholic acid derived from bovine bile combined with dry bovine bile powder, porcine ursodeoxycholic acid, taurine, bilirubin, cholesterol, etc.
Chinese regulations forbid the use of artificial calculus bovis in 42 drugs.Calculus bovis can cultivated in vivo by implanting a foreign object and microbials into bovine biles.
It can also be cultivated in vitro from bovine bile by adding ursodeoxycholic acid, cholic acid, and calcium bilirubinate, producing calculus bovis sativus.
Unlike artificial calculus bovis, either type of cultivated calculus bovis can fully replace calculus bovis under Chinese regulations.Niuhuang
Bovis calculus artifacus, artificial replacement produced from dry bovine bile.
Bovis calculus sativus, in vitro cultivated replacement produced from bovine bile.
≥ 6% cholic acid, ≥ 35% bilirubin by dry wright.
≥ 6% cholic acid, ≥ 35% bilirubin by dry wright.
≥ 6% cholic acid, ≥ 35% bilirubin by dry wright."
Calendula Officilis,Calendula Officilis,"It is also widely naturalised farther north in Europe (as far as southern England) and elsewhere in warm temperate regions of the world.The Latin specific epithet officinalis refers to the plant's medical and herbal uses.Calendula officinalis is widely cultivated and can be grown easily in sunny locations in most kinds of soils.
Calendulas are used as food plants by the larvae of some Lepidoptera species including cabbage moth, gothic moth, large yellow underwing, and setaceous Hebrew character.Pot marigold florets are edible.
officinalis exhibited antibacterial activity and both the methanol and the ethanol extracts showed antifungal activities.Along with horsetails (Equisetum arvense), pot marigold is one of the few plants which is considered astringent despite not being high in tannins.Numerous cultivars have been selected for variation in the flowers, from pale yellow to orange-red, and with 'double' flowerheads with ray florets replacing some or all of the disc florets."
Calyx Kaki,Calyx Kaki,"As with most commercial pollination-variant-astringent persimmons, the fruit are ripened off the tree by exposing them to carbon dioxide.
Astringent persimmons contain very high levels of soluble tannins and are unpalatable if eaten before completely softened, though the sweet, delicate flavor of fully ripened persimmons of varieties that are astringent when unripe is particularly relished.
The fleshy berries become edible when they turn dark purple or black, at which point they are sweet and can be eaten from the hand or made into pudding or custard.The tree Diospyros kaki is the most widely cultivated species of persimmon.
In color, the ripe fruit of the cultivated strains range from glossy light yellow-orange to dark red-orange depending on the species and variety.
Its fruit has green skin and white flesh that turns dark brown to black when ripe.American persimmon (Diospyros virginiana) is native to the eastern United States."
Calyx Seu Fructus Physalis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Catechu,Catechu,"Catechu ( or ) is an extract of acacia trees used variously as a food additive, astringent, tannin, and dye.
The catechu mixture is high in natural vegetable tannins (which accounts for its astringent effect), and may be used for the tanning of animal hides.
Early research by Sir Humphry Davy in the early 19th century first demonstrated the use of catechu in tanning over more expensive and traditional oak extracts.
Under the name cutch, it is a brown dye used for tanning and dyeing and for preserving fishing nets and sails.
Cutch gives gray-browns with an iron mordant and olive-browns with a copper mordant.Black catechu has recently also been utilized by Blavod Drinks Ltd. to dye their vodka black.White cutch, also known as gambier, gambeer, or gambir, which is extracted from Uncaria gambir has the same uses."
Caulis Aristolochiae seu Clematis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Caulis Clematidis Armandii,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Caulis Erycibes,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Caulis Mahoniae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Caulis Sargentodoxae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Caulis Sinomenii,Reuptake enhancer,"A reuptake enhancer (RE), also sometimes referred to as a reuptake activator, is a type of reuptake modulator which enhances the plasmalemmal transporter-mediated reuptake of a neurotransmitter from the synapse into the pre-synaptic neuron, leading to a decrease in the extracellular concentrations of the neurotransmitter and therefore a decrease in neurotransmission.
The antidepressant tianeptine was once claimed to be a (selective) serotonin reuptake enhancer (SRE or SSRE), but the role of serotonin reuptake in its mechanism is doubtful.
Tianeptine has no affinity for the serotonin transporter, neither increases nor decreases extracellular levels of serotonin in cortico-limbic structures of conscious rats, and it didn't show any other long-term effect on the serotonin pathway.
Thus, tianeptine's role as an SSRE may have been the coincidence of a yet unknown mechanism of action.
The flavone luteoline as well as some of its derivatives enhance the reuptake at the dopamine transporter, extracts of Caulis Sinomenii activate DA/NE transporters."
Caulis Trachelospermi,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Celosiae Semen,Shihu Yeguang Wan,"Shihu Yeguang Wan (Chinese: 石斛夜光丸) is a brownish-black pill used in Traditional Chinese medicine to ""replenish yin of the kidney, quench liver-fire and improve eyesight"". It tastes sweet and slightly bitter. It is used where there is ""deficiency of yin of the liver and the kidney with rousing of fire causing cataract with impaired vision"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Citri Fructus,Baohe Wan,"Baohe Wan (Chinese: 保和丸) is a greyish-brown, slightly sour and astringent pill used in Traditional Chinese medicine to ""stimulate digestion, remove retained food and regulate the stomach function"". It is used in cases where there is ""retention of undigested food with epigastric and abdominal distension, foul belching, acid regurgitation and loss of appetite"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Citrus Aurantium,Citrus Aurantium,"Bitter orange, Seville orange, sour orange, bigarade orange, or marmalade orange refers to a citrus tree (Citrus × aurantium) and its fruit.
The dried peels are used in the creation of Curaçao liqueur.While the raw pulp is not edible, Seville orange (or bigarade) is a widely known, particularly tart orange which is now grown throughout the Mediterranean region.
Iraqis also consume it as a citrus fruit or juice it to make bitter orange juice ""'aseer raranj"".
The Seville orange variety is used in the production of marmalade and also used to make French bigarade sauce.Bitter orange is also employed in herbal medicine as a stimulant and appetite suppressant, due to its active ingredient, synephrine.
Bitter orange supplements have been linked to a number of serious side effects and deaths, and consumer groups advocate that people avoid using the fruit medically."
Concha Arcae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Concretio Silicea Bambusae,Concretio Silicea Bambusae,"It is also an ingredient in many traditional Chinese medicines.Not all bamboo stems contain tabasheer.
Likely candidates are found by shaking bamboo stems, which can make the mineralized tabasheer inside produce a rattling sound.
Other Sanskrit-derived names have been applied to tabasheer as well, including bamboo sugar (vans-sharkar), bamboo camphor (vans karpoor) and bamboo manna.
It is called Tian Zhu Huang in Mandarin, which means ""heavenly bamboo yellow.""Tabasheer that has a blueish tint (usually called neel or neelkanth) is considered superior to tabasheer that has the ""more plain"" yellow or white color.Although a part of the ancient Ayurvedic system of medicine, it has been postulated that the use of tabasheer originated in the Adivasi aboriginal tribes of India.
Tabasheer was extensively exported from India for thousands of years, including through Arab traders during the medieval period."
Cordyceps,Cordyceps,"Cordyceps  is a genus of ascomycete fungi (sac fungi) that includes about 400 species.
Most Cordyceps species are endoparasitoids, parasitic mainly on insects and other arthropods (they are thus entomopathogenic fungi); a few are parasitic on other fungi.
The generic name Cordyceps is derived from the Greek word κορδύλη kordýlē, meaning ""club"", and the Latin word caput, meaning ""head"".The genus has a worldwide distribution and most of the approximately 400 species that have been described are from Asia (notably Nepal, China, Japan, Bhutan, Korea, Vietnam, and Thailand).
Cordyceps species are particularly abundant and diverse in humid temperate and tropical forests.Video on how Cordyceps Infects and Kills AntsWhen a Cordyceps fungus attacks a host, the mycelium invades and eventually replaces the host tissue, while the elongated fruit body (ascocarp) may be cylindrical, branched, or of complex shape.
""Species of Cordyceps parasitic on Elaphomyces"".
""North American entomogenous species of Cordyceps"".
""Cordyceps - a traditional Chinese medicine and another fungal therapeutic biofactory?"" (PDF).
PMID 18343466.Cordyceps are used extensively in traditional Chinese medicine."
Cortex Eucommiae,Tianma Wan,"Tianma Wan (Chinese: 天麻丸) is a blackish-brown pill used in Traditional Chinese medicine to ""relieve rheumatism, alleviate muscle contracture, remove obstructions from collaterals and channels, promote blood circulation and relieve pain"". It is slightly aromatic and tastes slightly sweet and bitter. It is used where there is ""deficiency of liver and kidney, stagnation of wind-damp marked by muscle contracture and numbness of the limbs, aching in the loins and legs"". The binding agent of the pill is honey.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Cortex Mori,Akio Mori,"In 2005, however, Mori and Kawashima took part in a series of convocations, held by the Ministry of Education, Culture, Sports, Science and Technology of Japan as a part of its activities for creating its guidelines of Japanese schools' operation.In addition, Mori's book Genki na Nō no Tsukurikata: Ningen Rashisa o Hagukunde Suteki na Otona ni Narutameni (元気な脳のつくりかた―人間らしさを育んで、すてきな大人になるために, ""The Way to Make the Healthy Brains: For Nurturing Humanities and Becoming Beautiful Adults""), published on August 1, 2006, was selected as the Japan National Council of Parent-Teacher Association's ""recommended book"" at that time.Mori also recommend Iida Denshi's Nōchō series highly as intelligible goods with his research.
It was later admitted as an associated party by the Japanese scientific organization, Science Council of Japan, on April 13, 2006.Mori attained the degree of Doctor of Medicine, but did not become interested in researching the relationships between video games and human neuroscience until he met a programmer of computer software around 2000 when he made a new electroencephalograph.Mori, Akio (July 2002)."
Cortex Moutan,Paeonia suffruticosa,"Paeonia suffruticosa is a name used for a group of culture varieties of tree peonies that are the result of hybridisation with species exclusively belonging to the subsection Vaginatae.
Plants belonging to this group have been cultivated for millennia in China, initially only as a source of traditional Chinese medicine particularly the skin of its roots (牡丹皮; mǔdān pí).
This is associated with tree peony yellows disease in China.Paeonia suffruticosa has a long history of being used in Chinese medicine.
Paeonia decomposita is the only species from the Vaginatae that has not contributed to these cultivars.Paeonia suffruticosa, also known as the tree peony, originates from China.
suffruticosa cultivars by Victor Lemoine in Nancy has led to the introduction of the color yellow into the cultivated double-flowered tree-peonies.
Some of the early Itoh cultivars are ‘Yellow Crown’, ‘Yellow Dream’, ‘Yellow Emperor’ and ‘Yellow Heaven’.Cultivated hybrid tree peonies originate from China and its surrounding areas, possessing significant cultural meaning throughout Chinese history."
Cortex Phellodendri,Cortex Phellodendri,"Known also as Cortex Phellodendri, it is the bark of one of two species of Phellodendron tree: Phellodendron amurense or Phellodendron chinense.For Phellodendron amurense (关黄柏, i.e.
These provinces are in the far northeast of China, near the Heilong Jiang river, known in Russian as the Аму́р (Amur River), and Phellodendron amurense is commonly known as the Amur cork tree.
Phellodendron chinense (川黄柏, i.e.
""lowland Phellodendron"") producing areas include Sichuan, Hubei, Guizhou, Yunnan, and Guangxi.黃檗 description in Li Shizhen's 1578 materia medica, the Bencao Gangmu (Wikisource: Chinese) autotranslate
Some pharmacological activities of the bark can be standardized by analyzing the level of berberine using a monoclonal antibody, thin-layer chromatography, HPLC, potentiometry, or acidic potassium permanganate chemiluminescence.
sachalinense was 4.1% (mostly berberine), while the level in P.
amurense and Ph. chinense was 1.5%.The levels of four harmful trace heavy metals (arsenic, cadmium, mercury, and thallium) in P."
Crataegi Folium,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" or ""藜"" is usually substituted in Japanese.
The ""勿"" in ""藜"" should be replaced with ""刂"".The World of KampoTsumura Herb Handbook (in Japanese)
(ISBN 0-939616-42-4) Eastland Press Herb List Arranged by Pinyin
""Learner's Disney Character Dictionary of Chinese Medicine""Kampo list
Chinese classic herbal formula"
Dictamni Cortex,Dictamni Cortex,"Distribution of this group of alkaloids is essentially limited to plant family Rutaceae.
The simplest member of this group is dictamnine and most widespread member is skimmianine.A furoquinoline alkaloid, dictamnine, is very common within the family Rutaceae.
Another furoquinoline alkaloid, skimmianine, has strong antiacetylcholinesterase activity.Thomas first isolated dictamnine from Rutaceae in 1923.
Skimmianine, another common furoquinoline alkaloid also shows a very similar type of chemistry to dictamine.
Skimmianine also has a linear structure as it gave 3-ethyl-4,7,8-trimethoxy-2-quinolone from hydrolysis.Media related to Furoquinolines at Wikimedia CommonsSome furoquinoline alkaloids have been found to have in vitro pharmacological properties such as antimicrobial, antiviral, mutagenic and cytotoxic activities.
Furoquinoline alkaloids extracted from Teclea afzelii (Rutaceae) plants, collected at Elounden, centre province of Cameroon, have antiplasmodial activities.
Another study shows that some furoquinoline alkaloids have in vitro activity against Plasmodium falciparum, one of the species of Plasmodium that causes malaria in humans."
