,ConditionId,name_used,summary,url,toc
acrodermatitis enteropathica,678,Acrodermatitis enteropathica,"Acrodermatitis enteropathica is an autosomal recessive metabolic disorder affecting the uptake of zinc through the inner lining of the bowel, the mucous membrane. It is characterized by inflammation of the skin (dermatitis) around bodily openings (periorificial) and the tips of fingers and toes (acral), hair loss (alopecia), and diarrhea. It can also be related to deficiency of zinc due to other, i.e. congenital causes.Other names for acrodermatitis enteropathica include Brandt syndrome and Danbolt–Cross syndrome.",https://en.wikipedia.org/wiki/Acrodermatitis_enteropathica,"[('Signs and symptoms',), ('Genetics',), ('Diagnosis',), ('Treatment',), ('See also',), ('References',), ('Further reading',)]"
adenoma,249,Adenoma,"An adenoma is a benign tumor of epithelial tissue with glandular origin, glandular characteristics, or both. Adenomas can grow from many glandular organs, including the adrenal glands, pituitary gland, thyroid, prostate, and others. Some adenomas grow from epithelial tissue in nonglandular areas but express glandular tissue structure (as can happen in familial polyposis coli). Although adenomas are benign, they should be treated as pre-cancerous. Over time adenomas may transform to become malignant, at which point they are called adenocarcinomas. Most adenomas do not transform. However, even though benign, they have the potential to cause serious health complications by compressing other structures (mass effect) and by producing large amounts of hormones in an unregulated, non-feedback-dependent manner (causing paraneoplastic syndromes). Some adenomas are too small to be seen macroscopically but can still cause clinical symptoms.",https://en.wikipedia.org/wiki/Adenoma,"[('Histopathology',), ('Locations', 'Colon'), ('Locations', 'Renal'), ('Locations', 'Adrenal'), ('Locations', 'Thyroid'), ('Locations', 'Pituitary'), ('Locations', 'Parathyroid'), ('Locations', 'Liver'), ('Locations', 'Breast'), ('Locations', 'Appendix'), ('Locations', 'Bronchial'), ('Locations', 'Sebaceous'), ('Locations', 'Salivary glands'), ('Locations', 'Prostate'), ('Treatment',), ('References',), ('External links',)]"
adrenal cortex,774,Adrenal cortex,"Situated along the perimeter of the adrenal gland, the adrenal cortex mediates the stress response through the production of mineralocorticoids and glucocorticoids, such as aldosterone and cortisol, respectively. It is also a secondary site of androgen synthesis.",https://en.wikipedia.org/wiki/Adrenal_cortex,"[('Layers',), ('Hormone synthesis',), ('Production', 'Mineralocorticoids'), ('Production', 'Glucocorticoids'), ('Production', 'Androgens'), ('Pathology',), ('See also',), ('References',), ('External links',)]"
adult type dermatomyositis,365,Dermatomyositis,"Dermatomyositis (DM) is a long-term inflammatory disorder which affects muscles.
Its symptoms are generally a skin rash and worsening muscle weakness over time.
Other symptoms may include weight loss, fever, lung inflammation, or light sensitivity.
Complications may include calcium deposits in muscles or skin.The cause is unknown.
Diagnosis is typically based on some combination of symptoms, blood tests, electromyography, and muscle biopsies.While there is no known cure for the condition, treatments generally improve symptoms.
Treatments may include medication, physical therapy, exercise, heat therapy, orthotics, and assistive devices, and rest.
Most people improve with treatment and in some the condition resolves completely.About 1 per 100,000 people per year are newly affected.
The condition usually occurs in those in their 40s and 50s with women being affected more often than men.
People of any age, however, may be affected.
The condition was first described in the 1800s.",https://en.wikipedia.org/wiki/Dermatomyositis,"[('Signs and symptoms', 'Skin'), ('Signs and symptoms', 'Muscles'), ('Signs and symptoms', 'Other'), ('Causes',), ('Diagnosis', 'Classification'), ('Treatment',), ('Prognosis',), ('Epidemiology',), ('History',), ('Society and culture',), ('Research',), ('References',)]"
adverse reaction to drug,250,Adverse drug reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs. The meaning of this expression differs from the meaning of ""side effect"", as this last expression might also imply that the effects can be beneficial. The  study of ADRs is the concern of the field known as pharmacovigilance. An adverse drug event (ADE) refers to any injury occurring at the time a drug is used, whether or not it is identified as a cause of the injury. An ADR is a special type of ADE in which a causative relationship can be shown.  ADRs are only one type of medication-related harm, as harm can also be caused by omitting to take indicated medications.",https://en.wikipedia.org/wiki/Adverse_drug_reaction,"[('Classification', 'Cause'), ('Classification', 'Severity'), ('Location',), ('Mechanisms', 'Abnormal pharmacokinetics', 'Comorbid disease states'), ('Mechanisms', 'Abnormal pharmacokinetics', 'Genetic factors', 'Phase I reactions'), ('Mechanisms', 'Abnormal pharmacokinetics', 'Genetic factors', 'Phase II reactions'), ('Mechanisms', 'Abnormal pharmacokinetics', 'Interactions with other drugs', 'Protein binding'), ('Mechanisms', 'Abnormal pharmacokinetics', 'Interactions with other drugs', 'Cytochrome P450'), ('Mechanisms', 'Synergistic effects'), ('Assessing causality',), ('Monitoring bodies',), ('Epidemiology',), ('See also',), ('References',), ('Further reading',)]"
affect (mental function),305,Mental disorder,"A mental disorder, also called a mental illness or psychiatric disorder, is a behavioral or mental pattern that causes significant distress or impairment of personal functioning.
Such disorders may be diagnosed by a mental health professional.
The causes of mental disorders are often unclear.
A mental disorder is one aspect of mental health.
Cultural and religious beliefs, as well as social norms, should be taken into account when making a diagnosis.Services are based in psychiatric hospitals or in the community, and assessments are carried out by mental health professionals such as psychiatrists, psychologists, and clinical social workers, using various methods such as psychometric tests but often relying on observation and questioning.
Treatments are provided by various mental health professionals.
Psychotherapy and psychiatric medication are two major treatment options.
Other treatments include lifestyle changes, social interventions, peer support, and self-help.",https://en.wikipedia.org/wiki/Mental_disorder,"[('Definition', 'Nervous illness'), ('Classifications', 'Dimensional models'), ('Classifications', 'Disorders', 'Anxiety disorder'), ('Classifications', 'Disorders', 'Mood disorder'), ('Classifications', 'Disorders', 'Psychotic disorder'), ('Classifications', 'Disorders', 'Personality disorder'), ('Classifications', 'Disorders', 'Eating disorder'), ('Classifications', 'Disorders', 'Sleep disorder'), ('Classifications', 'Disorders', 'Sexuality related'), ('Classifications', 'Disorders', 'Other'), ('Signs and symptoms', 'Course'), ('Signs and symptoms', 'Disability'), ('Risk factors', 'Genetics'), ('Risk factors', 'Environment'), ('Risk factors', 'Drug use'), ('Risk factors', 'Chronic disease'), ('Risk factors', 'Personality traits'), ('Risk factors', 'Causal Models'), ('Diagnosis', 'Criticism'), ('Prevention',), ('Management', 'Lifestyle'), ('Management', 'Therapy'), ('Management', 'Medication'), ('Management', 'Other'), ('Epidemiology',), ('History', 'Ancient civilizations'), ('History', 'Europe', 'Middle Ages'), ('History', 'Europe', 'Eighteenth century'), ('History', 'Europe', 'Nineteenth century'), ('History', 'Europe', 'Twentieth century'), ('History', 'Europe and the United States'), ('Society and culture', 'Religion'), ('Society and culture', 'Movements'), ('Society and culture', 'Cultural bias'), ('Society and culture', 'Laws and policies'), ('Society and culture', 'Perception and discrimination', 'Stigma'), ('Society and culture', 'Perception and discrimination', 'Media and general public'), ('Society and culture', 'Perception and discrimination', 'Violence'), ('Mental health',), ('Other animals',), ('See also',), ('Notes',), ('Further reading',), ('External links',)]"
age related macular degeneration,143,Macular degeneration,"Over time, however, some people experience a gradual worsening of vision that may affect one or both eyes.
While it does not result in complete blindness, loss of central vision can make it hard to recognize faces, drive, read, or perform other activities of daily life.
The severity is divided into early, intermediate, and late types.
The late type is additionally divided into ""dry"" and ""wet"" forms with the dry form making up 90% of cases.Preventive efforts include exercising, eating well, and not smoking.
In the wet form, anti-VEGF medication injected into the eye or less commonly laser coagulation or photodynamic therapy may slow worsening.
However, supplements may slow the progression in those who already have the disease.In 2015 it affected 6.2 million people globally.
It most commonly occurs in people over the age of fifty and in the United States is the most common cause of vision loss in this age group.",https://en.wikipedia.org/wiki/Macular_degeneration,"[('Signs and symptoms',), ('Risk factors', 'Environment and lifestyle'), ('Risk factors', 'Genetics', 'Specific genes'), ('Risk factors', 'Genetics', 'Mitochondrial related gene polymorphisms'), ('Pathophysiology', 'Stages', 'Early AMD'), ('Pathophysiology', 'Stages', 'Intermediate AMD'), ('Pathophysiology', 'Stages', 'Late AMD', 'Dry AMD'), ('Pathophysiology', 'Stages', 'Geographic Atrophy', 'Wet AMD'), ('Pathophysiology', 'Oxidative stress'), ('Diagnosis', 'Histology'), ('Prevention',), ('Management', 'Dry AMD'), ('Management', 'Wet AMD'), ('Management', 'Adaptive devices'), ('Epidemiology',), ('Research directions', 'Association with other age-related diseases'), ('Research directions', 'Genetic testing'), ('Research directions', 'Stem cell transplant'), ('Other types',), ('Notable cases',), ('References',), ('External links',)]"
aging,29,Ageing,"The term refers especially to human beings, many animals, and fungi, whereas for example bacteria, perennial plants and some simple animals are potentially biologically immortal.
In the broader sense, ageing can refer to single cells within an organism which have ceased dividing (cellular senescence) or to the population of a species (population ageing).
In humans, ageing represents the accumulation of changes in a human being over time, encompassing physical, psychological, and social changes.
Reaction time, for example, may slow with age, while knowledge of world events and wisdom may expand.
The causes of ageing are uncertain; current theories are assigned to the damage concept, whereby the accumulation of damage (such as DNA oxidation) may cause biological systems to fail, or to the programmed ageing concept, whereby internal processes (such as DNA methylation) may cause ageing.
Programmed ageing should not be confused with programmed cell death (apoptosis).",https://en.wikipedia.org/wiki/Ageing,"[('Ageing versus immortality',), ('Effects',), ('Biological basis', 'Programmed factors'), ('Biological basis', 'Damage-related factors'), ('Prevention and delay', 'Lifestyle'), ('Prevention and delay', 'Medical intervention'), ('Prevention and delay', 'Research projects and prizes'), ('Society and culture', 'Economics'), ('Society and culture', 'Sociology'), ('Society and culture', 'Health care demand'), ('Society and culture', 'Self-perception of ageing'), ('Society and culture', 'Successful ageing'), ('Society and culture', 'Cultural references'), ('See also',), ('References',), ('External links',)]"
albuminuria,743,Albuminuria,"Albuminuria is a pathological condition wherein the protein albumin is abnormally present in the urine. It is a type of proteinuria. Albumin is a major plasma protein (normally circulating in the blood); in healthy people, only trace amounts of it are present in urine, whereas larger amounts occur in the urine of patients with kidney disease. For a number of reasons, clinical terminology is changing to focus on albuminuria more than proteinuria.",https://en.wikipedia.org/wiki/Albuminuria,"[('Signs and symptoms',), ('Causes',), ('Diagnosis',), ('Treatment',), ('References',)]"
alcohol consumption,671,Alcoholic drink,"An alcoholic drink (or alcoholic beverage) is a drink that contains ethanol, a type of alcohol produced by fermentation of grains, fruits, or other sources of sugar.
Most countries have laws regulating the production, sale, and consumption of alcoholic beverages.
Some countries ban such activities entirely, but alcoholic drinks are legal in most parts of the world.
The global alcoholic drink industry exceeded $1 trillion in 2018.Alcohol is a depressant, which in low doses causes euphoria, reduces anxiety, and improves sociability.
Alcoholic drinks are typically divided into three classes—beers, wines, and spirits—and typically their alcohol content is between 3% and 50%.
Discovery of late Stone Age jugs suggest that intentionally fermented drinks existed at least as early as the Neolithic period (cir.
Many animals also consume alcohol when given the opportunity and are affected in much the same way as humans, although humans are the only species known to produce alcoholic drinks intentionally.",https://en.wikipedia.org/wiki/Alcoholic_drink,"[('Fermented drinks', 'Beer'), ('Fermented drinks', 'Cider'), ('Fermented drinks', 'Mead'), ('Fermented drinks', 'Pulque'), ('Fermented drinks', 'Wine'), ('Distilled drinks', 'Rectified spirit'), ('Health effects', 'Short-term effects'), ('Health effects', 'Long-term effects'), ('Health effects', 'Congeners'), ('Food energy',), ('Amount of use',), ('Reasons for use', 'Apéritifs and digestifs'), ('Reasons for use', 'Flavoring'), ('Alcohol measurement', 'Alcohol concentration'), ('Alcohol measurement', 'Serving measures', 'Shot sizes'), ('Alcohol measurement', 'Serving measures', 'Standard drinks'), ('Laws',), ('History',), ('See also', 'Beverage-related articles'), ('See also', 'Social and health'), ('References',), ('External links',)]"
alcohol use disorder,319,Alcoholism,"Alcoholism, also known as alcohol use disorder (AUD), is a broad term for any drinking of alcohol that results in mental or physical health problems.
In a medical context, alcoholism is said to exist when two or more of the following conditions are present: a person drinks large amounts of alcohol over a long time period, has difficulty cutting down, acquiring and drinking alcohol takes up a great deal of time, alcohol is strongly desired, usage results in not fulfilling responsibilities, usage results in social problems, usage results in health problems, usage results in risky situations, withdrawal occurs when stopping, and alcohol tolerance has occurred with use.
The medications acamprosate, disulfiram or naltrexone may also be used to help prevent further drinking.The World Health Organization estimates that as of 2010 there were 208 million people with alcoholism worldwide (4.1% of the population over 15 years of age).",https://en.wikipedia.org/wiki/Alcoholism,"[('Signs and symptoms', 'Long-term misuse'), ('Signs and symptoms', 'Warning signs', 'Physical', 'Short-term effects'), ('Signs and symptoms', 'Warning signs', 'Physical', 'Long-term effects'), ('Signs and symptoms', 'Warning signs', 'Psychiatric'), ('Signs and symptoms', 'Warning signs', 'Social effects'), ('Signs and symptoms', 'Alcohol withdrawal'), ('Causes', 'Availability'), ('Causes', 'Gender difference'), ('Causes', 'Genetic variation'), ('Diagnosis', 'Definition', 'Alcoholism'), ('Diagnosis', 'Definition', ""Milam & Ketcham's physical deterioration stages""), ('Diagnosis', 'Definition', 'DSM and ICD'), ('Diagnosis', 'Social barriers'), ('Diagnosis', 'Screening'), ('Diagnosis', 'Urine and blood tests'), ('Prevention',), ('Management', 'Detoxification'), ('Management', 'Psychological'), ('Management', 'Moderate drinking'), ('Management', 'Medications'), ('Management', 'Dual addictions and dependences'), ('Epidemiology',), ('Prognosis',), ('History',), ('Society and culture',), ('Research', 'Topiramate'), ('Research', 'Baclofen'), ('Research', 'Ondansetron'), ('Research', 'LSD'), ('See also',), ('References',), ('External links',)]"
"alcoholic intoxication, chronic",144,Alcoholic hallucinosis,"Alcoholic hallucinosis (or alcohol-related psychosis or alcohol-induced psychotic disorder) is a complication of alcohol misuse in people with alcohol use disorder. Descriptions of the condition date back to at least 1907. They can occur during acute intoxication or withdrawal with the potential of having delirium tremens. Alcohol hallucinosis is a rather uncommon alcohol-induced psychotic disorder almost exclusively  seen in people with severe, recurrent alcohol use disorder (formerly known as chronic alcoholics) who have many consecutive years of severe and heavy drinking during their lifetime. Alcoholic hallucinosis develops about 12 to 24 hours after the heavy drinking stops suddenly, and can last for days. It involves auditory and visual hallucinations, most commonly accusatory or threatening voices. The risk of developing alcoholic hallucinosis is increased by long-term heavy alcohol abuse and the use of other drugs.",https://en.wikipedia.org/wiki/Alcoholic_hallucinosis,"[('Cause',), ('Alcoholic hallucinosis vs. delirium tremens',), ('Treatment',), ('See also',), ('References',)]"
