,name_used,summary
Anemarrhena rhizome,Anemarrhena rhizome,"Anemarrhena is a plant genus in family Asparagaceae, subfamily Agavoideae. It has only one species, Anemarrhena  asphodeloides, native to China, Korea, and Mongolia. Some authors have placed it in its own family, Anemarrhenaceae.Anemarrhena asphodeloides Bge. Medicinal Plant Images Database (School of Chinese Medicine, Hong Kong Baptist University) (in Chinese) (in English)
知母, Common Anemarrhena Rhizome, Zhi Mu Chinese Medicine Specimen Database (School of Chinese Medicine, Hong Kong Baptist University) (in Chinese) (in English)The plant name in China is zhi mu (知母, zhī mǔ) and its rhizome is used in traditional medicine."
Angelica root,Angelica root,"Angelica archangelica, commonly known as garden angelica, wild celery, and Norwegian angelica, is a biennial plant from the family Apiaceae, a subspecies of which is cultivated for its sweetly scented edible stems and roots.
Of particular interest to perfumers and aroma chemists is Cyclopentadecanolide, which although present in small quantities (< 1% in roots, <.5% in seeds), it's primarily responsible for angelica root's distinctive musky aroma and was originally found in the roots.Though the essential oil yield of Angelica seeds are slightly higher, it's the roots which are generally preferred for culinary and aroma uses.Angelica seeds have a similar chemical composition to the roots, including α-pinene, β-pinene, camphene, myrcene, β-phellandrene, limonene, caryophyllene, borneol, carvone and others.Both the seeds and roots contain coumarins and furocoumarins.
Angelica archangelica roots are among the most common botanicals used in gin distillation, often used in concert with juniper berries and coriander as a chief aromatic characteristic for gin."
Angular solomon's seal root,Angular solomon's seal root,"Polygonatum odoratum (angular Solomon's seal or scented Solomon's seal) syn.
P. officinale, is a species of flowering plant in the family Asparagaceae, native to Europe, the Caucasus, Siberia, the Russian Far East, China, Mongolia, Korea and Japan.
verticillatum.Polygonatum odoratum, like its relative lily of the valley, is cultivated in moist, shaded situations, where it will spread by underground stolons.
This plant species is described in the work Plantas Medicinales (medicinal plants) of Pius Font i Quer.
Also describes a digestive liquor that uses the rhizome of this plant.Polygonatum odoratum is a colonizing herbaceous perennial growing to 85 cm (33 in) tall by 30 cm (12 in) wide, with alternate, simple leaves on arching stems.
– Japan, Russian Far East
odoratum – widespread from Portugal and Great Britain to Japan and Kamchatka
pluriflorum (Miq.) Ohwi – Japan, Korea
Polygonatum odoratum var.
Polygonatum odoratum var.
Polygonatum odoratum var.
Polygonatum odoratum var.
thunbergii (C.Morren & Decne.) H.Hara – Japan, Korea"
Apricot seed,Apricot seed,"However, studies have found the compounds to be ineffective in the treatment of cancer, as well as potentially toxic or lethal when taken by mouth, due to cyanide poisoning.Apricot kernels can cause potentially fatal cyanide poisoning when consumed.
Symptoms include nausea, fever, headaches, insomnia, increased thirst, lethargy, nervousness, various aches and pains in joints and muscles, and a drop in blood pressure.Apricot kernels are sometimes added to soaps or scrubs as an exfoliant.In 1993 the New York State Department of Agriculture and Markets tested the cyanide content of two 220 gram (8 oz) packages of bitter apricot kernels imported from Pakistan that were being sold in health-food stores as a snack.
There was one reported case in the medical literature of cyanide toxicity from apricot kernels from 1979 to 1998 in the United States, a non-fatal poisoning by purchased apricot kernels.Amaretto"
Areca nut,Areca nut,"Consumption by hundreds of millions of people worldwide – mainly with southern and eastern Asian origins – has been described as a ""neglected global public health emergency"".Chewing the mixture of areca nut and betel leaf is a tradition, custom, or ritual which dates back thousands of years in much of the geographical areas from South Asia eastward to the Pacific.
Tobacco leaf is often added to the mixture, thereby adding the effect of nicotine.In parts of India, Sri Lanka, and southern China, areca nuts are not only chewed along with betel leaf, but are also used in the preparation of Ayurvedic and traditional Chinese medicines.
In Palau, betel nut is chewed with lime, piper leaf and nowadays, with the addition of tobacco.
Some people also consume the areca nut in its raw, fresh form with or without the betel leaves."
Atractylodes rhizome,Atractylodes rhizome,"It is the dried rhizome of Atractylodes lancea (Thunb.) DC., Atractylodes chinensis (DC.) Koidz, or certain other local species including Atractylodes japonica Koidz.
It is believed that the distinction between cāng zhú and bái zhú emerged in relatively modern times; a single drug ""zhú"" described in the Shen nong ben cao jing probably included many Atractylodes species.A. lancea is grown mainly in Hubei and Jiangsu.
Atractylodes rhizomes showed possible hepatoprotective activity in an in vitro assay of a hepatocyte cell line treated with carbon tetrachloride or galactosamine, with significant hepatoprotective activity from the isolated sesquiterpenoid components atractylon, β-eudesmol, and hinesol.
Atractylenolide I from bai zhú was reported to help with cachexia (a side effect of stomach cancer) and alter cytokine levels in a small non-blinded study.
lancea, trans-2-hydroxyisoxypropyl-3-hydroxy-7-isopentene-2,3-dihydrobenzofuran-5-carboxylic acid, was found to be cytotoxic to two cancer cell lines tested.Other components of the rhizome include:"
Baikal skullcap root,Baikal skullcap root,"Scutellaria baicalensis List of Chemicals (Dr. Duke's Databases)
Scutellaria baicalensis (Plants for a Future)Piper methysticum (kava), another anxiolytic GABAergic plant
Valeriana officinalis (valerian), a sedative GABAergic plantThe plant is native to China, Korea, Mongolia, and Russia in the Russian Far East and Siberia.Several chemical compounds have been isolated from the root; baicalein, baicalin, wogonin, norwogonin, oroxylin A and β-sitosterol are the major ones.It is important to use the Latin name, as the term 'skullcap' is used for over 200 varieties.
Sometimes, Scutellaria lateriflora (North American skullcap) is mistaken for S.
baicalensis.
lateriflora variety which can be processed and contaminated with other plants at high enough levels to be of concern.It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name huángqín (Chinese: 黄芩).
As a Chinese traditional medicine, huang qin usually refers to the dried root of S.
baicalensis Georgi, S."
Biond’s magnolia flower,Biond’s magnolia flower,"Magnolia biondii (Biondi’s magnolia) is a deciduous tree that flowers in late winter to early spring before leaf growth.
Leave buds and petals of the plant are used to alleviate nasal obstruction and coughing in some parts of China.Magnolia biondii is a deciduous tree that grows mainly in temperate forests in the mountains.It has a broadly conical to spreading habit.Dried flower buds and petals of Magnolia biondii are considered food in some parts of China.
Magnolia biondii is generally distinguished by its smaller size, narrower leaves, and smaller flowers.Magnolia biondii can grow up to 40 feet, or 12 meters.
Moreover, stamens and carpels are spirally arranged.Flowers of Magnolia biondii are small and white and have strong fragrance associated to them.
Because of the small size and long growth period, Magnolia biondii is seldom used for ornamental purposes.
Magnolia biondii produce aggregate fruits that consist of numerous separate carpels of one gynoecium."
Biota seed,Biota seed,"One popular definition is that organisms are open systems that maintain homeostasis, are composed of cells, have a life cycle, undergo metabolism, can grow, adapt to their environment, respond to stimuli, reproduce and evolve.
Complex organic molecules occur in the Solar System and in interstellar space, and these molecules may have provided starting material for the development of life on Earth.Since its primordial beginnings, life on Earth has changed its environment on a geologic time scale, but it has also adapted to survive in most ecosystems and conditions.
Synthetic biology includes the broad redefinition and expansion of biotechnology, with the ultimate goals of being able to design and build engineered biological systems that process information, manipulate chemicals, fabricate materials and structures, produce energy, provide food, and maintain and enhance human health and the environment.Life (Systema Naturae 2000)"
Bitter orange flower,Bitter orange flower,"Bitter orange, Seville orange, sour orange, bigarade orange, or marmalade orange refers to a citrus tree (Citrus × aurantium) and its fruit.
The dried peels are used in the creation of Curaçao liqueur.While the raw pulp is not edible, Seville orange (or bigarade) is a widely known, particularly tart orange which is now grown throughout the Mediterranean region.
Iraqis also consume it as a citrus fruit or juice it to make bitter orange juice ""'aseer raranj"".
The Seville orange variety is used in the production of marmalade and also used to make French bigarade sauce.Bitter orange is also employed in herbal medicine as a stimulant and appetite suppressant, due to its active ingredient, synephrine.
Bitter orange supplements have been linked to a number of serious side effects and deaths, and consumer groups advocate that people avoid using the fruit medically."
Bitter orange seed,Bitter orange seed,"The species is unusual among citrus for having deciduous, compound leaves and pubescent (downy) fruit.
The plant is a fairly cold-hardy citrus (USDA zone 6) and will tolerate moderate frost and snow, making a large shrub or small tree 4–8 m tall.
Trifoliate orange and various hybrids of this plant are widely used as citrus rootstocks.
When dried and powdered, they can be used as a condiment.The trifoliate orange is recognizable by the large 3–5 cm (1.2–2.0 in) thorns on the shoots, and its deciduous leaves with three (or rarely, five) leaflets, typically with the middle leaflet 3–5 cm (1.2–2.0 in) long, and the two side leaflets 2–3 cm (0.79–1.18 in) long.
The fruits are green, ripening to yellow, and 3–4 cm (1.2–1.6 in) in diameter similar in size to a lime and resembling a small orange, but with a finely downy surface and having a fuzzy texture similar to a peach."
Black pepper,Black pepper,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning.
Today, pepper accounts for one-fifth of the world's spice trade.One tablespoon (6 grams) of ground black pepper contains moderate amounts of vitamin K (13% of the daily value or DV), iron (10% DV) and manganese (18% DV), with trace amounts of other essential nutrients, protein, and dietary fibre.The pepper plant is a perennial woody vine growing up to 4 m (13 ft) in height on supporting trees, poles, or trellises.
Spice mills such as pepper mills were found in European kitchens as early as the 14th century, but the mortar and pestle used earlier for crushing pepper have remained a popular method for centuries, as well.Enhancing the flavor profile of peppercorns (including piperine and essential oils), prior to processing, has been attempted through the postharvest application of ultraviolet-C light (UV-C).Green pepper, like black pepper, is made from unripe drupes."
Borneol,Borneol,"Borneol is a bicyclic organic compound and a terpene derivative.
Borneol is a component of many essential oils and it is a natural insect repellent.Derivatives of isoborneol are used as chiral ligands in asymmetric synthesis:
(2S)-(−)-3-exo-(morpholino)isoborneol or MIB with a morpholine substituent in the α-hydroxyl position
(2S)-(−)-3-exo-(dimethylamino)isoborneol or DAIB with a dimethylamino substituent in the α-hydroxyl positionThe bornyl group is a univalent radical C10H17 derived from borneol by removal of hydroxyl and is also known as 2-bornyl.
Isobornyl is the univalent radical C10H17 that is derived from isoborneol.Bornyl acetate is the acetate ester of borneol.Borneol is an eye, skin, and respiratory irritant; it is harmful if swallowed.Borneol can be found in several species of Heterotheca, Artemisia, Callicarpa, Dipterocarpaceae, Blumea balsamifera  and Kaempferia galanga.It is one of the chemical compounds found in castoreum.
This compound is gathered from the beaver's plant food.Borneol is easily oxidized to the ketone (camphor)."
Brown mustard seed,Brown mustard seed,"They are an important spice in many regional foods and may come from one of three different plants: black mustard (Brassica nigra), brown Indian mustard (B.
Brown and black mustard seeds return higher yields than their yellow counterparts.In Pakistan, rapeseed-mustard is the second most important source of oil, after cotton.
Secret Indian Recipe About mustard seedThese mustard seeds are known in Hindi, Urdu, and Punjabi as sarson (Hindi: सरसों) (Indian colza, Brassica rapa subsp.
The Buddha stated that if an individual were to pick a single mustard seed every hundred years from a seven-mile cube worth of mustard seeds, then by the time the last seed is picked, the age of the world cycle would still continue.
And sufficient are We as accountant (21:47)""  and also ""[And Luqman said], ""O my son, indeed if wrong should be the weight of a mustard seed and should be within a rock or [anywhere] in the heavens or in the earth, Allah will bring it forth."
Buddha's hand,Buddha's hand,"sarcodactylis, or the fingered citron, is an unusually shaped citron variety whose fruit is segmented into finger-like sections, resembling those seen on representations of Buddha.
The origin of this kind of citron is commonly traced back to the Far East, probably northeastern India or China, where most domesticated citrus fruits originate.Media related to Buddha's hand at Wikimedia Commons
Diseases that can affect the fruit include that of Citritic arthritis and Systematic loss (sarco-leiossis)The fingered citron is cultivated as an ornamental tree in gardens and containers on patios and terraces.Buddha's hand fruit is very fragrant and is used predominantly in China, Malaysia and Japan for perfuming rooms and personal items such as clothing.Japanese citrusThe fruit may be given as a religious offering in Buddhist temples.
It is also a traditional temple offering and a New Year’s gift.Unlike other citrus fruits, most varieties of the Buddha's Hand fruit contain no pulp or juice."
Bugbane rhizome,Actaea racemosa,"Although its extracts are manufactured as herbal medicines and dietary supplements, black cohosh is not well-studied or recommended for safe and effective use in treating menopause symptoms or any disease.A. racemosa grows in dependably moist, fairly heavy soil.
It has gained the Royal Horticultural Society's Award of Garden Merit.Black cohosh contains diverse phytochemicals, such as polyphenols and estrogen-like compounds (isoflavones) implicated in effects of black cohosh extracts on hot flashes in menopausal women, although there is no effect confirmed by high-quality clinical research.National Institutes of Health (NIH) ""Workshop on the Safety of Black Cohosh in Clinical Studies""  November 2004.pdfBlack cohosh is a smooth (glabrous) herbaceous perennial plant that produces large, compound leaves from an underground rhizome, reaching a height of 25–60 cm (9.8–23.6 in)."
Bupleurum root,Bupleurum root,"Bupleurum chinense (Chai Hu, Chinese: 柴胡; pinyin: chaí hú; Jyutping: caai4 wu4, Thorowax) is a plant of the family Apiaceae.Consumption of B.
This formula should not be taken without a prescription from a licensed practitioner of traditional Chinese medicine and should not be taken for prolonged periods of time and could cause headache, dizziness and bleeding of the gums.
chinense, known as Radix Bupleuri, is used in traditional Chinese medicine.
It is a primary ingredient in the preparation Xiao Chai Hu Tang, which was first recorded in the Treatise on Cold Induced Febrile Disease (Shang Han Lun) circa 280 AD.
This formula is used to soothe irritability.Bupleurum chinense is native to East Asia.
The leaves of the plant are long and thin and resemble fennel.Buplerum chinense roots, also known as Radix Bupleuri, were contain polyacetylenes and saponins/triterpenoids."
Bush cherry pit,Bush cherry pit,"Commercial cherries are obtained from cultivars of several species, such as the sweet Prunus avium and the sour Prunus cerasus.
Sour cherries require no pollenizer, while few sweet varieties are self-fertile.A cherry tree will take three to four years once it's planted in the orchard to produce its first crop of fruit, and seven years to attain full maturity.In Australia, cherries are grown in all the states except for the Northern Territory.
The indigenous range of the sweet cherry extends through most of Europe, western Asia, and parts of northern Africa, and the fruit has been consumed throughout its range since prehistoric times.
See cherry blossom and Prunus for ornamental trees.The list below contains many Prunus species that bear the common name cherry, but they are not necessarily members of the subgenus Cerasus, or bear edible fruit."
Camphor,Camphor,"The structure on the left is the naturally occurring (R)-form, while its mirror image shown on the right is the (S)-form.In biosynthesis, camphor is produced from geranyl pyrophosphate, via cyclisation of linaloyl pyrophosphate to bornyl pyrophosphate, followed by hydrolysis to borneol and oxidation to camphor.Camphor was a component of paregoric, an opium/camphor tincture developed in the 18th century.
In 1911 Robert Kennedy Duncan, an industrial chemist and educator, related that the Imperial Japanese government had recently (1907–1908) tried to monopolize the production of natural camphor as a forest product in Asia but that the monopoly was prevented by the development of the total synthesis alternatives, which began in ""purely academic and wholly uncommercial"" form with Gustav Komppa's first report ""but it sealed the fate of the Japanese monopoly […] For no sooner was it accomplished than it excited the attention of a new army of investigators—the industrial chemists."
Cape jasmine fruit,Cape jasmine fruit,"With its shiny green leaves and heavily fragrant white summer flowers, it is widely used in gardens in warm temperate and subtropical climates, and as a houseplant in temperate regions.
Many varieties have been bred for horticulture, with low-growing, and large, and long-flowering forms.In cultivation in the UK, G.
jasminoides has gained the Royal Horticultural Society's Award of Garden Merit.It is widely used as a garden plant in warm, temperate and subtropical gardens.
A cultivar called 'Summer Snow' is distinguished by its large flowers and grows in USDA Zones 6-10.
It grows to 1.5 m (5 ft) high and 1 m (3.5 ft) wide.Gardenia jasminoides was described by English botanist John Ellis in 1761, after it had been conveyed to England in the 1750s."
Cassia seed,Cinnamomum cassia,"Cinnamomum cassia, called Chinese cassia or Chinese cinnamon, is an evergreen tree originating in southern China, and widely cultivated there and elsewhere in southern and eastern Asia (India, Indonesia, Laos, Malaysia, Taiwan, Thailand, and Vietnam).
It is considered one of the 50 fundamental herbs in traditional Chinese medicine.Due to a blood-thinning component called coumarin that could damage the liver if consumed in larger amounts, European health agencies have warned against consuming high amounts of cassia.
PMID 28510850.Chinese cassia is a close relative to Ceylon cinnamon (C.
Chinese cassia's flavour is less delicate than that of Ceylon cinnamon.
Chinese cassia has a sweeter flavor than Indonesian cassia, similar to Saigon cinnamon, but with lower oil content.Cassia bark (both powdered and in whole, or ""stick"" form) is used as a flavoring agent for confectionery, desserts, pastries, and meat; it is specified in many curry recipes, where Ceylon cinnamon is less suitable."
Castor bean,Castor bean,"Castor is indigenous to the southeastern Mediterranean Basin, Eastern Africa, and India, but is widespread throughout tropical regions (and widely grown elsewhere as an ornamental plant).Castor seed is the source of castor oil, which has a wide variety of uses.
Crude methanolic extract, enriched n-hexane fraction and isolates at doses 100 mg/kg p.o. exhibited significant (P < 0.001) anti-inflammatory activity in carrageenan-induced hind paw oedema model.Global castor seed production is around two million tons per year.
These individuals can also have cross-allergic reactions to latex sap from the related Hevea brasiliensis plant.Selections have been made by breeders for use as ornamental plants (heights refer to plants grown as annuals) and for commercial production of castor oil.
The ancient Romans had a variety of medicinal/cosmetic uses for both the seeds and the leaves of Ricinus communis."
Cherokee rose fruit,Cherokee rose fruit,"It was one of the first of the darker color group of tomatoes sometimes described as ""blacks""; the variety Purple Calabash, with its highly irregularly shaped fruits, arose in a very few seed catalogs in the mid 1900s.
In 1995, a skin color mutation of Cherokee Purple arose in Craig LeHoullier's North Carolina garden.
It is one of several tomatoes whose flesh stays green when it ripens; the skin color is yellow, which provides a guide to indicate when the tomato is ripe and ready for harvest.
After growing the tomato in his 1991 garden, confirming the unique purplish coloration and considering the history shared by Mr Green, Craig named the variety Cherokee Purple and sent it to Jeff McCormack of Southern Exposure Seed Exchange.
Jeff enjoyed the flavor of the tomato and his company first listed the variety in its 1993 seed catalog."
Chicory,Chicory,"Common chicory, Cichorium intybus, is a somewhat woody, perennial herbaceous plant of the dandelion family Asteraceae, usually with bright blue flowers, rarely white or pink.
Chicory was also adopted as a coffee substitute by Confederate soldiers during the American Civil War, and has become common in the United States.
In the United States, chicory root has long been used as a substitute for coffee in prisons.
More prone to early flowering than other varieties, it has higher crowns more susceptible to overbrowsing.Six PointA United States variety, it is very similar to Puna.Root chicory (Cichorium intybus var.
Belgian endive is known in Dutch as witloof or witlof (""white leaf""), endive or (very rarely) witloof in the United States, indivia in Italy, endivias in Spain, chicory in the UK, as witlof in Australia, endive in France, and chicon in parts of northern France, in Wallonia and (in French) in Luxembourg."
Chinese nutmeg yew,Chinese nutmeg yew,"Torreya grandis (Chinese: 香榧(pinyin=Xiāngfěi) is a species of conifer in either the family Taxaceae, or Cephalotaxaceae.
T. grandis is a large tree that can attain height of 25 metres (82 ft), and possibly as high as 39 metres (128 ft).
T. grandis is endemic to eastern and south-eastern China; it is found in the coastal provinces Fujian, Zhejiang, and Jiangsu, as well as in Anhui, Guizhou, Hunan, and Jiangxi inland.
T. grandis is used as an ornamental tree in Europe and North America.Although known and utilized by the Chinese for centuries, the first European to discover Torreya grandis was Robert Fortune, who was hiking in the mountains of northeast Zhejiang in search of seeds, particularly those of ""golden pine-tree"" (Larix kaempferi).
Encountering first two young cultivated trees, he managed to get guided to a valley with mature trees and purchased the seeds.
The seeds brought to England could be grown successfully there.Torreya grandis cv.
It is believed to originate from the mountains of NE Zhejiang."
Chinese plum,Chinese plum,"Chinese plum is a common name for several plants and may refer to:

Prunus mume with its plum blossoms
Prunus salicina
Loquat, Eriobotrya japonica"
Chinese white olive,Chinese white olive,"They grow naturally across tropical Africa, south and southeast Asia, Indochina, Malesia, Australia and western Pacific Islands; including from southern Nigeria east to Madagascar, Mauritius, Sri Lanka and India; from Burma, Malaysia and Thailand through the Malay Peninsula and Vietnam to south China, Taiwan and the Philippines; through Borneo, Indonesia, Timor and New Guinea, through to the Solomon Islands, New Caledonia, Fiji, Samoa, Tonga and Palau.They grow up to large evergreen trees of 40–50 m (130–160 ft) tall, and have alternately arranged, pinnate leaves.""Canarium L."" Atlas of Living Australia.Several species have edible nuts, known as galip nut or nangae (C.
C. indicum are among the most important nut-bearing trees in eastern Indonesia and the Southwest Pacific.
The brief species distribution information was sourced from Flora Malesiana, the Flora of China (series) and the Australian Tropical Rainforest Plants information system.The trees and their edible nuts have a large number of common names in their range."
Chrysanthemum flower,Chrysanthemum flower,"'good blessings, rewards'), a female Yazad (angel) presiding over blessings.Chrysanthemum plants have been shown to reduce indoor air pollution by the NASA Clean Air Study.In some countries of Europe (e.g., France, Belgium, Italy, Spain, Poland, Hungary, Croatia), incurve chrysanthemums symbolize death and are used only for funerals or on graves, while other types carry no such symbolism; similarly, in China, Japan, and Korea, white chrysanthemums symbolize adversity, lamentation, and/or grief.
When the flower was adopted for the Imperial Seal of Japan some families also cultivated it to signal their support and good relationship with the Imperial family.In the present day, each autumn there are chrysanthemum exhibitions at the Meiji Shrine and Yasukuni Shrine in Tokyo.
A number of festivals and shows take place throughout Japan in autumn when the flowers bloom.
Oxford History of Ancient Egypt, The Shaw, Ian 2000 Oxford University Press ISBN 0-19-815034-2Yellow or white chrysanthemum flowers of the species C."
