herb,common_names,background,know,learned,safety
Chasteberry,"
Common Names: 
  chasteberry, chastetree, chaste tree berry, Vitex, monk’s pepper, lilac chastetree","
Chasteberry is the fruit of the chaste tree, which is native to Central Asia and the Mediterranean region.
The plant was believed to promote chastity (hence its name). Monks in the Middle Ages reportedly used it to decrease sexual desire.
Chasteberry was also used for reproductive disorders.
Today, chasteberry is used as a dietary supplement for menstrual problems, menopause symptoms, infertility, and other conditions.
Chasteberry is available as a liquid extract, capsules, tablets, and an essential oil.
","
There’s not a lot of strong research on the effectiveness of chasteberry for any condition. We do have some clear safety information on the herb.
","
A few preliminary studies found that chasteberry may improve some symptoms of premenstrual syndrome but the evidence isn’t firm.
Researchers have studied chasteberry for breast pain and infertility, but there isn’t enough reliable scientific evidence to know if it helps.
There’s no evidence that chasteberry helps with menopausal symptoms.
","
When used in limited amounts, chasteberry appears to be generally well tolerated. Few side effects have been reported.
Women on birth control pills or hormone replacement therapy, or who have a hormone-sensitive condition (such as breast cancer) should not use chasteberry.
People taking dopamine-related medications, such as certain antipsychotic drugs and Parkinson’s disease medications should avoid using chasteberry.
"
Cinnamon,"
Common Names: 
  cinnamon, cinnamon bark, Ceylon cinnamon, cassia cinnamon","
There are many types of cinnamon. Cassia cinnamon, native to China, is the most common type sold in the United States and Canada. Ceylon cinnamon, native to Sri Lanka, is common in other countries and is known as “true” cinnamon.
Used as a spice for thousands of years, cinnamon comes from the bark of the cinnamon tree. Essential oils are made from the bark, leaves, or twigs of cassia cinnamon.
Cinnamon has a long history as a traditional medicine, including for bronchitis.
Today, some people use cinnamon as a dietary supplement for gastrointestinal problems, loss of appetite, and diabetes, among other conditions.
Cinnamon is used in capsules, teas, and extracts.
","
We have a fair amount of information on cinnamon from studies done in people.
","
Studies done in people don’t support using cinnamon for any health condition.
A 2012 systematic review of 10 randomized controlled clinical trials in people with type 1 or type 2 diabetes suggests that cinnamon doesn’t help to reduce levels of glucose or glycosylated hemoglobin A1c (HbA1c), a long-term measure of glucose (blood sugar) control.
A product containing cinnamon, calcium, and zinc didn’t improve blood pressure in a small study of people with type 2 diabetes.
National Center for Complementary and Integrative Health (NCCIH)-supported research is looking at the effect of cinnamon on processes involved in multiple sclerosis.
","
Cinnamon supplements appear to be safe for most people for short-term use if not taken in large amounts. Some people may have allergic reactions to cinnamon.
Cassia cinnamon contains varying amounts of a chemical called coumarin, which might cause or worsen liver disease. In most cases, cassia cinnamon doesn’t have enough coumarin to make you sick. However, for some people, such as those with liver disease, taking a large amount of cassia cinnamon might worsen their condition.
Cinnamon should not be used in place of conventional medical care or to delay seeking care if you have health problems. This is particularly true if you have diabetes.
"
Colloidal Silver Products,,"
Silver can build up in the body’s tissue, causing a bluish-gray discoloration of large areas of skin, especially those exposed to the sun.
People have developed argyria from using homemade and commercial colloidal silver products.
",Scientific evidence doesn’t support the use of colloidal silver dietary supplements for any disease or condition.,"
Colloidal silver and other complementary products or practices that have not been proven safe and effective should never be used to replace conventional medical care or as a reason to postpone seeing a health care provider about a medical problem.
Tell all your health care providers about any complementary health approaches you use. Give them a full picture of what you do to manage your health. This will help ensure coordinated and safe care.
",
Cranberry,"
Common Names: 
  cranberry, American cranberry, bearberry","
Cranberry is a native evergreen shrub that grows throughout North America.
Historically, cranberry fruits or leaves were used for bladder, stomach, and liver disorders, as well as diabetes, wounds, and other conditions.
Today, cranberry is used as a dietary supplement primarily for urinary tract infections (UTIs).
The berries are used in beverages and food. They are also made into dietary supplements in the form of extracts, powder, capsules, and tablets.
","
There have been a lot of studies in people of cranberry for UTIs, but there’s very little high quality recent research on cranberry for other conditions.
","
There’s mixed evidence that cranberry can help to prevent UTIs.

In a 2016 year-long study of 147 women living in nursing homes, taking two daily cranberry capsules decreased bacteria levels in their urine in the first 6 months of the study, but didn’t decrease their frequency of UTIs over the year of the study, compared to taking a placebo. The two capsules together contained as much proanthocyanidin, a compound that is believed to protect against bacteria, as 20 ounces of cranberry juice.
A 2012 research review of 13 clinical trials suggested that cranberry may help reduce the risk of UTIs in certain groups, including women with recurrent UTIs, children, and people who use cranberry-containing products more than twice daily.
A 2012 research review of 24 clinical trials concluded that cranberry juice and supplements don’t prevent UTIs but many of the studies were poor quality.


Cranberry hasn’t been shown to be effective as a treatment for an existing UTI.
NCCIH-supported research is looking at the possible effects of cranberry on cancer-related anemia and tumor cells.
","
Drinking cranberry juice appears to be safe, although large amounts can cause stomach upset and may over time increase the risk of kidney stones.
Large doses of cranberry may alter levels of warfarin, an anticoagulant (blood-thinner).
People who think they have a UTI should see a health care provider for a diagnosis and treatment. Don’t use cranberry products in place of proven treatments for infections.
"
Dandelion,"
Common Names: 
  dandelion, lion’s tooth, blowball","
Dandelion greens are edible and are a rich source of vitamin A. Dandelion has been used in traditional medical systems, including Native American, traditional Chinese, and traditional Arabic medicine.
Dandelion has a long history of use for problems of the liver, gallbladder, and bile ducts. Today, dandelion as a dietary supplement is used as a blood “tonic,” as a diuretic, for minor digestive problems, and for other purposes.
The leaves and roots of the dandelion, or the whole plant, are used fresh or dried in capsules or extracts. As a food, dandelion is used as a salad green and in soups, wine, and teas.
","
We know very little about dandelion’s health effects. There’s little scientific evidence on this herb.
","
There’s no compelling scientific evidence supporting the use of dandelion for any health condition.
","
The use of dandelion as a food is generally considered safe. However, some people are allergic to dandelion; allergic reactions are especially likely in people who are allergic to related plants such as ragweed, chrysanthemums, marigolds, and daisies. The safety of using dandelion supplements for health-related purposes is uncertain.
"
Echinacea,"
Common Names: 
  echinacea, purple coneflower, coneflower, American coneflower","
There are nine known species of echinacea, all of which are native to North America. They were used by Native Americans of the Great Plains region as traditional medicines.
Echinacea is used as a dietary supplement for the common cold and other infections, based on the idea that it might stimulate the immune system to more effectively fight infection. Echinacea preparations have been used topically (applied to the skin) for wounds and skin problems.
The roots and above-ground parts of the echinacea plant are used fresh or dried to make teas, squeezed (expressed) juice, extracts, capsules and tablets, and preparations for external use. Several species of echinacea, most commonly Echinacea purpurea or Echinacea angustifolia, may be included in dietary supplements.
","
Many studies have been done on echinacea and the common cold. Much less research has been done on the use of echinacea for other health purposes.
","
Taking echinacea after you catch a cold has not been shown to shorten the time that you’ll be sick.
Taking echinacea while you’re well may slightly reduce your chances of catching a cold. However, the evidence on this point isn’t completely certain. Currently, the National Center for Complementary and Integrative Health (NCCIH) is funding research to identify the active constituents in echinacea and to study the effects on the human immune system of substances in bacteria that live within echinacea plants.
","
There are many different echinacea products. They may contain different species of plants or different parts of the plant, be manufactured in different ways, and have other ingredients in addition to echinacea. Most of these products have not been tested in people.
For most people, short-term oral (by mouth) use of echinacea is probably safe; the safety of long-term use is uncertain.
The most common side effects of echinacea are digestive tract symptoms, such as nausea or stomach pain.
Some people have allergic reactions to echinacea, which may be severe. Some children participating in a clinical trial of echinacea developed rashes, which may have been caused by an allergic reaction. People with atopy (a genetic tendency toward allergic reactions) may be more likely to have an allergic reaction when taking echinacea.
Current evidence indicates that the risk of interactions between echinacea supplements and most medications is low.
"
Ephedra,"
Common Names: 
  ephedra, Chinese ephedra, ma huang","
Ephedra is an evergreen shrub-like plant native to central Asia, and Mongolia; it also grows in the southwestern United States.
People have used ephedra for centuries in China for colds, fever, flu, headaches, asthma, nasal congestion, and wheezing.
The U.S. Food and Drug Administration (FDA) banned the sale of dietary supplements containing ephedrine alkaloids (compounds found in some ephedra species) in the United States in 2004. It was an ingredient in some dietary supplements marketed for weight loss, increased energy, and enhanced athletic performance.
The dried stems and leaves of the ephedra plant have been used to create capsules, tablets, extracts, and teas.
","
A large amount of research led to ephedrine alkaloids becoming main oral asthma medications in the 1940s and 1950s. Ephedra also has been used as a weight-loss agent and energy enhancer for athletic performance. However, the increasing number of reported adverse events caused the FDA to ban dietary supplements that contain ephedrine alkaloids.
","
According to the FDA, there is little evidence of ephedra’s effectiveness, except for short-term weight loss. However, the increased risk of heart problems and stroke outweighs any benefits.
","
The FDA banned the U.S. sale of dietary supplements containing ephedrine alkaloids. It found that these supplements had an unreasonable risk of injury or illness—particularly cardiovascular complications—and a risk of death. The ban does not apply to traditional Chinese herbal remedies.
Using ephedra may worsen many health conditions such as heart disease and kidney disease. Ephedra has been associated with stroke. It also may contribute to increased blood sugar levels.
Ephedra may intensify or cause seizures in people with seizure disorders.
Taking ephedra may also cause anxiety, dizziness, difficulty urinating, dry mouth, headache, irritation of the stomach, nausea, psychosis, restlessness, sleep problems, and tremors. Some of these side effects may be associated with long-term use of ephedra.
Women who are pregnant or breastfeeding and children should avoid taking ephedra.
Ephedra use may lead to serious health problems when used with other dietary supplements or medicines.
Combining ephedra with caffeine increases the risk of potentially serious side effects.
"
European Elder (Elderberry),"
Common Names: 
  European elder, black elder, elderberry, elder flower, sambucus","
European elder is a tree native to Europe and parts of Asia and Africa, and it also grows in the United States. The name “elder” comes from the Anglo-Saxon word “aeld,” meaning fire. The terms “elder flower” and “elderberry” may refer to either European elder or a different herb called American elder. This fact sheet focuses only on European elder.
Various parts of the elder tree, including the bark, leaves, flowers, fruits, and roots, have long been used in traditional medicine.
Currently, elderberry and elder flower are used as dietary supplements for flu, colds, constipation, and other conditions.
The dried flowers (elder flower) and the dried ripe or fresh berries (elderberry) of the European elder tree are used in teas, extracts, and capsules.
","
A small number of studies in people have evaluated European elder for various health conditions. Some of these studies used products that included several ingredients, so the actions of individual ingredients are unclear.
","
Although some preliminary research indicates that elderberry may relieve flu symptoms, the evidence is not strong enough to support its use for this purpose.
A few studies have suggested that combination products containing elder flower and other herbs might be helpful for sinusitis, but because the products contain multiple ingredients, it’s unclear what role, if any, elder flower plays in their effects.
There’s not enough information to show whether elder flower and elderberry are helpful for any other purposes.
Researchers funded by the National Center for Complementary and Integrative Health (NCCIH) are studying the antioxidant effects of extracts from elderberry and their possible relevance to the body’s defense against infection.
","
The leaves, stems, raw and unripe berries, and other plant parts of the elder tree contain a toxic substance and, if not properly prepared, may cause nausea, vomiting, and severe diarrhea. Because the substance may also be present in the flower, consuming large amounts of the flower might be harmful; however, no illnesses caused by elder flower have been reported.
"
European Mistletoe,"
Common Names: 
  European mistletoe, mistletoe","
European mistletoe grows on several types of common trees such as apple, oak, pine, and elm trees. Where the term “mistletoe” is used in this fact sheet, it refers to European mistletoe. European mistletoe is different from American mistletoe, the type of mistletoe that grows in the United States and is used as a holiday decoration.
Mistletoe has been used for centuries in traditional medicine for a variety of conditions including seizures, headaches, and arthritis. Today, mistletoe is used in Europe as a treatment for cancer.
The berries, leaves, and stems of mistletoe are used to make extracts, which are usually given by injection under the skin. Mistletoe may also be taken orally (by mouth) as a dietary supplement. In Europe, mistletoe extracts that are given by injection are sold as prescription drugs. The U.S. Food and Drug Administration has not approved the use of mistletoe as a treatment for cancer or any other medical condition. In the United States, the use of injectable mistletoe extracts is permitted only in clinical trials.
","
Although mistletoe has been studied for cancer, its effects are not well understood because much of the research on it has been of poor quality.
","
There have been clinical trials of mistletoe for cancer, mostly in Europe. Although some trials indicated that mistletoe improved survival or quality of life, almost all of the trials had major weaknesses that raise doubts about their findings. These weaknesses have included small numbers of patients, incomplete data, lack of information about the dose of mistletoe, and problems with the design of the studies.
The National Center for Complementary and Integrative Health (NCCIH) and the National Cancer Institute have completed a preliminary trial to evaluate the safety of injected European mistletoe extract in combination with a cancer drug in patients with advanced cancer. It showed that patients could tolerate the herb/drug combination and provided other information that may be helpful in the design of future studies to evaluate mistletoe’s effectiveness.
Mistletoe is not a proven cancer treatment. It should not be used outside of clinical trials.
","
Mistletoe berries and leaves can cause serious harmful effects when taken orally.
Injected mistletoe extract may cause soreness and inflammation at the injection site, headache, fever, and chills. Serious side effects are rare, but a few severe allergic reactions have been reported.
"
Evening Primrose Oil,"
Common Names: 
  evening primrose oil, EPO","
Evening primrose is a plant native to North America, but it grows in Europe and parts of the Southern hemisphere as well. It has yellow flowers that bloom in the evening. Evening primrose oil contains the fatty acid gamma-linolenic acid (GLA).
Native Americans used the whole plant for bruises and its roots for hemorrhoids. The leaves were traditionally used for minor wounds, gastrointestinal complaints, and sore throats.
Today, people use evening primrose oil dietary supplements for eczema (a condition involving red, swollen, itchy skin, sometimes caused by allergies), rheumatoid arthritis, premenstrual syndrome (PMS), breast pain, menopause symptoms, and other conditions.
Evening primrose oil is obtained from the seeds of the evening primrose and is usually sold in capsule form.
","
Many studies in people have evaluated evening primrose oil for eczema, PMS, or breast pain. Smaller numbers of studies have evaluated it for other health conditions.
","
There’s not enough evidence to support the use of evening primrose oil for any health condition.
According to a comprehensive 2013 evaluation of the evidence, evening primrose oil, taken orally (by mouth), is not helpful for relieving symptoms of eczema.
Most studies of evening primrose oil for PMS have not found it to be helpful.
Studies of evening primrose oil for breast pain have had conflicting results.
A small amount of evidence suggests that evening primrose oil might be helpful for diabetic neuropathy (nerve problems caused by diabetes).
","
Evening primrose oil is probably safe for most people when taken for short periods of time. There can be mild side effects, such as stomach upset and headache.
The safety of long-term use of evening primrose oil has not been established.
Evening primrose oil may increase the risk of some complications of pregnancy. Talk with your health care provider if you’re considering using evening primrose oil during pregnancy.
Evening primrose oil may increase bleeding in people who are taking the anticoagulant (blood thinning) medication warfarin (Coumadin).
"
Fenugreek,"
Common Name: 
  fenugreek","
Fenugreek is in the spice blend garam masala. It’s used to flavor imitation maple syrup and as a condiment. Its extracts are also in soaps and cosmetics.
Historically, fenugreek was used for a variety of health conditions, including digestive problems and to induce childbirth.
Today, fenugreek is used as a dietary supplement for diabetes, to stimulate milk production during breastfeeding, and for other health conditions. It’s also used topically as a dressing for wounds or eczema.
The seeds are made into capsules, powders, teas, liquid extracts, and a dressing for the skin.
","
We have little conclusive evidence about the effects of fenugreek on health conditions, though we do have a fair amount of information on its possible side effects.
","
A few small studies found that fenugreek may help lower blood sugar levels in people with diabetes (generally type 2), but the evidence is weak.
Some studies suggest—but haven’t proven—that fenugreek may increase milk production in women who are breastfeeding.
There isn’t enough scientific evidence to support the use of fenugreek for any health condition.
","
Do not take fenugreek while pregnant because it may affect uterine contractions.
Fenugreek may act like estrogen in the body and be unsafe for women with hormone-sensitive cancers.
Side effects of fenugreek may include diarrhea; a maple-like smell to urine, breast milk, and perspiration; and a worsening of asthma.
There’s little information on the risks of taking fenugreek while breastfeeding.
Fenugreek should not be used in place of conventional medical care or to delay seeking care if you have health problems. This is particularly true if you have diabetes.
"
