,Summary
Cinnamomum cassia,"Cinnamomum cassia, called Chinese cassia or Chinese cinnamon, is an evergreen tree originating in southern China, and widely cultivated there and elsewhere in southern and eastern Asia (India, Indonesia, Laos, Malaysia, Taiwan, Thailand, and Vietnam).
The tree grows to 10–15 m (33–49 ft) tall, with greyish bark and hard, elongated leaves that are 10–15 cm (3.9–5.9 in) long and have a decidedly reddish colour when young.List of Chemicals in Cassia (Dr. Duke's Databases)Chinese herbologyChinese cassia is a close relative to Ceylon cinnamon (C.
Chinese cassia has a sweeter flavor than Indonesian cassia, similar to Saigon cinnamon, but with lower oil content.Cassia bark (both powdered and in whole, or ""stick"" form) is used as a flavoring agent for confectionery, desserts, pastries, and meat; it is specified in many curry recipes, where Ceylon cinnamon is less suitable."
Cissampelos pareira,"Cissampelos pareira (velvetleaf) is a species of flowering plant in the family Menispermaceae.List of Chemicals in Cissampelos pareira (Dr. Duke's Databases)Chinese herbologyEnglish: Velvet-leaf, Abuta
Sanskrit: Patha,abuta,Ambashtha, Piluphala, Ekashthila, Dipani, Varatiktata, Tiktapushpa, Atisaranashani, Ambashtaki, Pracchina, Shreyasi
The leaves are peltate, 2.5–12 cm long, 2.5–11.5 cm broad, triangularly broad-ovate, or orbicular, obtuse, mucronate, base cordate or truncate, ± tomentose on both sides; petiole pubescent.
Male flowers clustered in the axil of a small leaf; sepals are 4 in number, obovate-oblong, hairy outside; petals 4 in number, united to form a 4-toothed cup, hairy outside; stamens 4, column short, anthers connate, encircling the top of the column.
Female flowers clustered in the axils of orbicular, hoary imbricate bracts, on 5–10 cm long racemes; sepal 1, petal 1; carpel 1, densely hairy; style shortly 3-fid.
Drupe 4–6 mm long, 3–4 mm broad, subglobose, compressed, hairy-pubescent, red when fresh, black when dry, endocarp transversely ribbed, tuberculate."
Coptis chinensis,"Coptis chinensis, the Chinese goldthread, is a species of goldthread flowering plant native to China.WHO Monographs on Selected Medicinal PlantsThe rhizomes of Coptis chinensis contain the isoquinoline alkaloids berberine, palmatine, and coptisine among others.Because of the strong coloring quality of berberine, it has been traditionally used as a dye, especially for wool and other fibers."
Corydalis yanhusuo,"Corydalis yanhusuo is a plant species in the genus Corydalis.
The Chinese name for Corydalis yanhusuo is yan hu suo (Chinese: 延胡索; pinyin: yán hú suǒ; literally: 'extended barbarian rope').
English common names include yanhusuo, corydalis, and Asian corydalis.
The tuber of this plant, frequently mislabeled as the root, is an important therapeutic agent in traditional Chinese medicine.
It is native to high-altitude grasslands across China including in the provinces of Anhui, Henan, Hubei, Hunan, Jiangsu, and Zhejiang, but is more widely cultivated.According to the Flora of China, this perennial herbaceous plant produces 5 to 15 purple-blue tubular flowers in clusters that curve out at the opening.
The yellow, round tubers are up to 2.5 cm (1 in) in diameter.The alkaloid dehydrocorybulbine (DHCB) can be extracted from the roots of the plant.
Tetrahydropalmatine is another major constituent alkaloid.
Corydalis yanhusuo also contains the alkaloids glaucine and palmatine."
Croton tiglium,"Croton tiglium, known as purging croton, is a plant species in the family Euphorbiaceae.  C. tiglium is also called jamaal gota in India.Croton tiglium List of Chemicals (Dr. Duke's Databases)Major known chemical constituents are crotonoleic acid, glyceryl crotonate, crotonic acid, crotonic resin, and various carcinogenic phorbol derivatives."
Daphne genkwa,"Daphne genkwa is a deciduous shrub and one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name yuán huā (Chinese: 芫花).
The plant was discovered by the prolific plant collector Charles Maries.Daphne genkwa List of Chemicals (Dr. Duke's Databases)Chinese herbology#50 fundamental herbsIn addition to the nominate subspecies, Daphne genkwa subsp.
genkwa, two further subspecies are recognized.
Both are treated as separate species by the Flora of China.Daphne genkwa subsp.
jinzhaiensis (D.C.Zhang & J.Z.Shao) Halda (syn.
Daphne jinzhaiensis) differs from subsp.
genkwa in its terminal 3–5-flowered racemes, each flower having a tube 10–12 mm long.
It is found in Anhui, China.Daphne genkwa subsp.
leishanensis (H.F.Zhou ex C.Yung Chang) Halda (syn.
Daphne leishanensis) differs from subsp.
genkwa having blackish-purple older branches and reddish flowers 6–7 mm long.
It is found in Guizhou, China, where it grows on rocky slopes with bushes at altitudes ranging from 900 to 1200 m."
Datura metel,"Datura metel is a shrub-like annual (zone 5-7) or perennial (zone 8-10) herb, commonly known as devil's trumpet and metel.
Datura metel grows in the wild in all the warmer parts of the world, such as India and is cultivated worldwide for its chemical and ornamental properties.
The original home of the plant remains uncertain as a result.The plant is an annual or perennial herb growing up to 3 ft (0.91 m) high.
metel has almost glabrous leaves and fruits that are knobby, not spiny.
D. innoxia is pilose all over and has a spiny fruit.Media related to Datura metel at Wikimedia Commons
Leaf - Simple, alternate, petiolate, entire or deeply lobed, glabrous showing unicostate reticulate venation and exstipulate.
Calyx - Sepals 5, green, gamosepalous showing valvate aestivation.
Corolla - Petals 5, greenish white, gamopetalous, plicate showing twisted aestivation, funnel shaped with wide mouth and 10-lobed.
Fruit - Spinescent capsule opening by four apical valves with persistent calyx."
Datura stramonium,"Datura stramonium, known by the English names jimsonweed (jimson weed) or devil's snare, is a plant in the nightshade family.
For intensive plantations, leaf yields of 1,100 to 1,700 kilograms per hectare (1,000 to 1,500 lb/acre) and seed yields of 780 kg/ha (700 lb/acre) are possible.USDA Natural Resources Conservation Service PLANTS Profile: Datura stramonium L.
stramonium is a foul-smelling, erect, annual, freely branching herb that forms a bush up to 60 to 150 cm (2 to 5 ft) tall.The root is long, thick, fibrous, and white.
The stem forks off repeatedly into branches and each fork forms a leaf and a single, erect flower.The leaves are about 8 to 20 cm (3–8 in) long, smooth, toothed, soft, and irregularly undulated.
The fragrant flowers are trumpet-shaped, white to creamy or violet, and 6 to 9 cm (2 1⁄2–3 1⁄2 in) long, and grow on short stems from either the axils of the leaves or the places where the branches fork."
Dendrobium nobile,"It has become a popular cultivated decorative house plant, because it produces colourful blooms in winter and spring, at a time when little else is in flower.
Dendrobium nobile is one of the most widespread ornamental members of the orchid family.
Dendrobium nobile is an epiphytic or lithophytic plant native to southern China (including Tibet), the Himalayas (India, Bangladesh, Assam, Nepal, Sikkim, Bhutan), and Indochina (Myanmar, Thailand, Laos, Vietnam).
National orchid societies which give advice about the cultivation of Dendrobium nobile and other orchid species include:
The Orchid Society of Great BritainExtract of the stems of Dendrobium nobile yielded 17 phenanthrenes (including 3,4,8-trimethoxyphenanthrene-2,5-diol, 2,8-dihydroxy-3,4,7-trimethoxyphenanthrene, 3-hydroxy-2,4,7-trimethoxy-9,10-dihydrophenanthrene, 2,8-dihydroxy-3,4,7-trimethoxy-9,10-dihydrophenanthrene, 2-hydroxy-4,7-dimethoxy-9,10-dihydrophenanthrene, 2,2'-dihydroxy-3,3',4,4',7,7'-hexamethoxy-9,9',10,10'-tetrahydro-1,1'-biphenanthrene and 2,3,5-trihydroxy-4,9-dimethoxyphenanthrene).
There have been many studies on the complex chemistry of the plant.Dendrobium nobile is a sympodial orchid which forms pseudobulbs.
The stem is erect and during the flowering period blooms form along the whole length of the stem."
Dichroa febrifuga,"Dichroa febrifuga (Chinese: 常山; pinyin: chángshān ) is a flowering plant in the family Hydrangeaceae.  In Indonesiann it is called gigil, alternatively tataruman in Sundanese, ramram in Papua,  Hom dong (ฮอมดง) in Thai, but Yai khlang yai (ยายคลังใหญ่) in Nakhon Sri Thammarat, Yai Krang (ยายกรัง) in the South, and Hom Kham (ฮอมคำ) in Lanna (Northern Thai)."
Ephedra sinica,"Ephedra sinica (also known as Chinese ephedra or Ma Huang) is a plant species native to Mongolia, Russia (Buryatiya, Chita, Primorye), and northeastern China (Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shanxi)."
Eucommia ulmoides,"Eucommia ulmoides is a species of small tree native to China.
It flowers from March to May. The flowers are inconspicuous, small and greenish; the fruit, June to November, is a winged samara with one seed, very similar to an elm samara in appearance, 2–3 cm long and 1–2 cm broad.Chinese herbology 50 fundamental herbsEucommia ulmoides is also occasionally planted in botanical gardens and other gardens in Europe, North America and elsewhere, being of interest as the only cold-tolerant (to at least -30 °C) rubber-producing tree.
Fossils of other Eucommia species have been found in 10- to 35-million-year-old brown coal deposits in central Europe and widely in North America (Call & Dilcher 1997), indicating that the genus had a much wider range in the past.World Conservation Monitoring Centre (1998).
""Eucommia ulmoides"".
The IUCN Red List of Threatened Species.
The fossil record of Eucommia (Eucommiaceae) in North America."
Euphorbia pekinensis,"Euphorbia pekinensis, the Peking spurge, is a flowering plant native to Asia.Euphorbia pekinensis (Google Images)Chinese herbology 50 fundamental herbs"
Flueggea suffruticosa,"Flueggea suffruticosa is a species of flowering plant in the family Phyllanthaceae. It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name yī yè qiū (Chinese: 一叶秋).Flueggea suffruticosa contains the alkaloid securinine, which has been regarded as a CNS stimulant since the 1960s, and was used to study other related effects on the CNS as a GABAA receptor antagonist in Russia and China."
Forsythia suspensa,"Forsythia suspensa (Chinese: 连翘; pinyin: liánqiào, weeping forsythia or golden-bell) is a species of flowering plant in the family native to Asia. It is one of the 50 fundamental herbs used in traditional Chinese medicine. It contains the lignans Pinoresinol and phillyrin."
Gentiana loureiroi,"Gentiana  is a genus of flowering plants belonging to the gentian family (Gentianaceae), the tribe Gentianeae, and the monophyletic subtribe Gentianinae.
They are notable for their mostly large, trumpet-shaped flowers, which are often of an intense blue.The genus name is a tribute to Gentius, an Illyrian king who may have been the discoverer of tonic properties in gentians.Several gentian species may be found in cultivation, and are valued for the unusual intensity of their blue flowers.
Gentian root is a common beverage flavouring for bitters.
Americano apéritifs contain gentian root for bitter flavoring.
The bitter principle of gentian root is primarily gentiopicrin (also called gentiopicroside), a glycoside.
Many gentians are difficult to grow outside their wild habitat, but several species are available in cultivation.
White-flowered species are scattered throughout the range of the genus but dominate in New Zealand.
A few species have 4 to 7 flower parts."
Gleditsia sinensis,Gleditsia sinensis or Chinese honey locust is a species of flowering plant native to Asia.
Glycyrrhiza uralensis,"Glycyrrhiza uralensis, also known as Chinese liquorice, is a flowering plant native to Asia. It is used as a sweetener and in traditional Chinese medicine.Spice Pages: liquorice (Glycyrrhiza glabra/uralensis, liquorice)
Science Direct
Journal of Chinese Integrative Medicine
Radix Glycyrrhizae at damo-qigong.netChinese herbology 50 fundamental herbs
Liquorice"
Hydnocarpus anthelminticus,"Hydnocarpus anthelminticus is a species of flowering plant in the family Achariaceae. Originally found in Indochina, this species is now also cultivated in southern China."
Ilex purpurea,"Ilex purpurea is a species of holly, a flowering plant in the family Aquifoliaceae."
Leonurus japonicus,"Leonurus japonicus, commonly called oriental motherwort or Chinese motherwort, is a herbaceous flowering plant native to Asia, including Korea and Japan, and China to Cambodia.Plants for a FuturePlants are annual or biennial, growing from taproots. The stems are upright growing to a height of 30 to 120 cm. The flowers are sessile and produced in verticillasters. The calyx is tubular-campanulate shaped and 6–8 mm long with broad triangle shaped teeth. The corolla  is white or reddish to purplish red in color. Plants bloom from June to September.It has escaped cultivation and become naturalized in other parts of the world including South and North America, Europe and Africa.Chinese herbology 50 fundamental herbs"
Ligusticum wallichii,"Ligusticum striatum is a flowering plant in the carrot family best known for its use in traditional Chinese medicine where it is considered one of the 50 fundamental herbs. It is known by the common name Szechuan lovage, and chuānxiōng in Chinese: 川芎.   It is native to India, Kashmir, and Nepal. It contains the phytoprogestogens 3,8-dihydrodiligustilide and riligustilide."
Lobelia chinensis,"Lobelia chinensis, commonly known as Asian lobelia, Chinese Lobelia, and Herba Lobellae Chinensis, is a species of flowering plant in the family Campanulaceae. It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name (Chinese: 半边莲; pinyin: bàn biān lián).Lobelia chinensis is a small perennial herb that grows in tangled clumps from 15 centimetres (5.9 in) to 35 centimetres (14 in) long. It has a long, thin, branching stem that is olive green and green-brown crumpled narrow leaves. It has little to no odor and a sweet and pungent taste. When harvesting herbs for medical use, the ones with the greenest stems and yellower roots are preferred.Lobelia chinensis contains 6,7-dimethoxycoumarin, fraxinol, 5-hydroxy-7-methoxycoumarin, tomentin, 3'-hydroxygenkwanin, apigenin, quercetin, luteolin, linarin, luteolin 3',4'-dimethylether-7-O-beta-D-glucoside, isoferulic acid, and ethyl rosmarinate.It is endemic to east, south, southwest, and south-central China."
Phellodendron amurense,"Phellodendron amurense is a species of tree in the family Rutaceae, commonly called the Amur cork tree.
It is a major source of huáng bò (Chinese: 黄柏 or 黄檗), one of the 50 fundamental herbs used in traditional Chinese medicine.
The Ainu people used this plant, called shikerebe-ni, as a painkiller.It is native to eastern Asia: northern China, northeast China, Korea, Ussuri, Amur, and Japan, the Amur cork tree is considered invasive in many parts of North America.
The State of Massachusetts lists it as a noxious weed.Essential oils:
Fruit oil contains myrcene (62.3–70.3%) and β-caryophyllene (6.8–10.5%)
Leaf oil contains β-elemol (18.5%) and (Z)-β-ocimene (12.6%)
Flower oil contains (Z)-β-ocimene (9.5%), β-elemol (9.4%), myrcene (7.8%) and nonacosane (7.7%)Amurensin, a tert-amyl alcohol derivative of kaempferol 7-O-glucoside, can be found in P.
amurense.Phellodendron amurense
PLANTS Profile for Phellodendron amurense (Amur corktree) | USDA PLANTS
Cortex PhellodendronAmur cork tree fruit oil
Chinese herbology 50 fundamental herbs"
Platycladus orientalis,"Platycladus is a distinct genus of evergreen coniferous tree in the cypress family Cupressaceae, containing only one species, Platycladus orientalis, also known as Chinese thuja, Oriental arborvitae, Chinese arborvitae, biota or oriental thuja.
The foliage forms in flat sprays with scale-like leaves 2–4 mm (0.08–0.16 in) long, which are bright green in colour but may turn brownish or coppery orange in winter.
The cones are 1.5–2.5 cm (5⁄8–1 in) long, green ripening brown in about eight months from pollination, and have 6–12 thick scales arranged in opposite pairs.
It is also cultivated in many parts of the world in parks, gardens, home yards, cemeteries and for hedges.Resistant to drought, it is very often used as an ornamental tree, both in its homeland, where it is associated with long life and vitality, and very widely elsewhere in temperate climates."
Pseudolarix amabilis,"The sole species, Pseudolarix amabilis, is commonly known as the golden larch, though it is not a true larch (Larix), being more closely related to Keteleeria, Abies and Cedrus.
Golden larch is sometimes known under an old scientific name Pseudolarix kaempferi, but this may cause confusion with Larix kaempferi, the Japanese larch.Arboretum de Villardebelle - photos of cones
Pseudolarix in the Flora of China
Article in Harvard University Bulletin of Popular Information (1919)Golden larch is an attractive ornamental tree for parks and large garden.
Unlike the true larches, it is tolerant of summer heat and humidity, growing successfully in the southeastern United States where most larches and firs do not succeed.
The leaves are bright green, 3–6 cm long and 2–3 mm broad, with two glaucous stomatal bands on the underside; they turn a brilliant golden yellow before falling in the autumn, hence the common name."
Psilopeganum sinense,"Psilopeganum is a genus of flowering plants of the family Rutaceae.Photo from New York Botanical Garden collectionIt is a monotypic genus, with only a single species: Psilopeganum sinense Hemsl. (Chinese: 山麻黄; pinyin: shān má huáng, not to be confused with ma huang).Chinese herbology 50 fundamental herbsIt is native to the Three Gorges Reservoir area, in the Hubei province of central China, where it has become endangered.  A specimen exists at the New York Botanical Garden."
Pueraria lobata,"Pueraria montana var. lobata, the East Asian arrowroot, is a perennial plant in the family Fabaceae.The plant is native to East Asia (China, Japan, Korea, and Russian Far East), Southeast Asia (Indonesia, Malaysia, the Philippines, Taiwan, Thailand, and Vietnam), and the Pacific (New Caledonia, Papua New Guinea, Solomon Islands, and Vanuatu)."
Rauwolfia serpentina,"Rauvolfia serpentina, the Indian snakeroot, devil pepper, or serpentine wood, is a species of flower in the milkweed family Apocynaceae. It is native to the Indian subcontinent and East Asia (from India to Indonesia).Rauvolfia is a perennial undershrub widely distributed in India in the sub-Himalayan regions up to 1,000 metres (3,300 ft).Reserpine
List of herbs with known adverse effectsRauvolfia serpentina contains dozens of alkaloids of the indole alkaloid family, including ajmaline, ajmalicine, reserpine, and serpentine, among others."
Rehmannia glutinosa,"Rehmannia glutinosa is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name shēng dì huáng (Chinese: [生]地黄). It is often sold as gān dì huáng (Chinese: 干地黄), gān meaning ""dried"".A number of chemical constituents including iridoids, phenethyl alcohol, glycosides, cyclopentanoid monoterpenes, and norcarotenoids, have been reported from the fresh or processed roots of R. glutinosa"".Chinese herbology – 50 fundamental herbs
Rehmannia"
Rheum officinale,"Rheum officinale, the Chinese rhubarb, or Indian rhubarb is a rhubarb from the family Polygonaceae native to China. In the Chinese it is called yào yòng dà huáng (Chinese: 药用大黄).Hardy to USDA Zone 7.A perennial typically to 2m in height.R. officinale has a chromosome count of 2n=44.Chinese herbology 50 fundamental herbsThis species is endemic to southeast China, where it occurs in the provinces of Guizhou, southwestern Henan, western Hubei, Shaanxi, Sichuan, Yunnan and possibly Fujian.Plants For A Future database report
Calorimetric investigation of the effect of hydroxyanthraquinones in Rheum officinale Baill on Staphylococcus aureus growth
ScienceDirect - The Lancet : Herb-drug interactions"
Rhododendron qinghaiense,"The rest are broadly spread throughout the northern hemisphere in relatively small isolated populations, including Japan, northwestern North America, the Appalachian, and the Caucasus Mountains.Rhododendron has eight traditionally accepted subgenera based on morphology, still the consensus taxonomy used by most authorities: Azaleastrum; Candidastrum; Hymenanthes; Mumeazalea; Pentanthera; Rhododendron; Therorhodion; Tsutsusi.
Hymenanthes, with approximately 225 species, and subgenus Rhododendron, with approx.
400 species, comprise what gardeners typically describe as ""Rhododendrons."" Two subgenera are generally known to gardeners as ""Azaleas"", and include many fewer true species: Pentanthera, which comprises the deciduous azaleas, and Tsutsusi, which includes evergreen azaleas.Modern cladistic analysis, based on nuclear genetics, proposes changes in the classification of species within subgenera.
The major proposed changes are: to make section Choniastrum (originally in subgenus Azaleastrum) a separate Choniastrum subgenus; to combine sections Ponticum, Pentanthera, and the species Rhododendron canadense in subgenus Hymenanthes; subgenus Azaleastrum to include the former subgenera Tsutsusi, Mumeazalea, Candidastrum, and Menziesa, along with former sections Viscidula, Azaleastrum, Sciadorhodion, and the species Rhododendron vaseyi.""The Plant List: A working list of all plant species"".Edinburgh Rhododendron Monographs Comprehensive listing and description of all described Rhododendron species"
Saussurea costus,"The root of the plant is the key part used for medicinal or homeopathic purposes.It has a large number of names in other languages, including kustha in Sanskrit; kust or qust in Arabic and Persian; kut, kur, and pachak in Hindi and Bengali, kostum, gostham,  and potchuk in Tamil; upaleta and kur in Gujarati; kot or kust in Punjabi; changala in Telugu; sepuddy in Malayalam; kostha in Kannada; kuth or postkhai in Kashmiri; and kosht (קשט) in Hebrew.Saussurea costus is a classified as a perennial, with a typical growth of 1–2 m (3.3–6.6 ft) tall by 1 m (3.3 ft) wide.
The roots of the plant are stout and can travel up to 40 cm (16 in) in length.The species was determined “readily available” in the markets of Calcutta, Delhi, Mumbai, Amritsar, and Haridwar by a survey conducted by TRAFFIC India in 1997 and is considered one of the most common medicinal plants traded in Delhi.
costus is one of the most threatened medicinal plants of Kashmir Himalaya."
Schisandra chinensis,"Schisandra chinensis (common name: magnolia-vine, Chinese magnolia-vine, schisandra), whose fruit is called magnolia berry or five-flavor-fruit (from Chinese wǔ wèi zi), is a deciduous woody vine native to forests of Northern China and the Russian Far East.
The species itself is dioecious, thus flowers on a female plant will only produce fruit when fertilized with pollen from a male plant.
However, a hybrid selection titled 'Eastern Prince' has perfect flowers and is self-fertile.
Seedlings of 'Eastern Prince' are sometimes sold under the same name, but are typically single-sex plants.
The fruits are red berries borne in dense hanging clusters around 10 cm long.In 1998, Russia released a postage stamp depicting S.
chinensis.Schisandra chinensis, Adaptogens.org list of chemicalsSchisandra is native to northern and northeastern China (Manchuria).
Plants require conditions of moderate humidity and light, together with a wet, humus-rich soil.
In order to successfully grow fruit male and female plants must be grown together."
Scutellaria baicalensis,"Scutellaria baicalensis, with the common name Baikal skullcap or Chinese skullcap, is a species of flowering plant in the family Lamiaceae.Data related to Scutellaria baicalensis at Wikispecies

Scutellaria baicalensis List of Chemicals (Dr. Duke's Databases)
Scutellaria baicalensis (Plants for a Future)Piper methysticum (kava), another anxiolytic GABAergic plant
Valeriana officinalis (valerian), a sedative GABAergic plantThe plant is native to China, Korea, Mongolia, and Russia in the Russian Far East and Siberia."
Stemona tuberosa,"Stemona tuberosa is a species of flowering plant in the family Stemonaceae. It is native to China, India, southeast Asia, and New Guinea. Hornets play an important role in seed dispersal by biting off the seed with its elaiosome and then carrying the seed away for about 100 m. There they chew off the elaiosome and abandon the seed which is likely to be taken by ants into their nest.Chinese herbology 50 fundamental herbs"
Stephania tetrandra,"Stephania tetrandra is a herbaceous perennial vine of the Menispermaceae family native to China and Taiwan. It grows from a short, woody caudex, climbing to a height of around three meters. The leaves are arranged spirally on the stem, and are peltate, i.e. with the leaf petiole attached near the centre of the leaf. Its root is used in traditional Chinese medicine (TCM).""Stephania tetrandra"". Germplasm Resources Information Network (GRIN). Agricultural Research Service (ARS), United States Department of Agriculture (USDA).
Stephania and Chinese Herb NephropathyStephania tetrandra occurs in shrublands at village margins, open fields, and roadsides in South Central and East China in Anhui, Fujian, Guangdong, Guangxi, Hainan, Hubei, Hunan, Jiangxi, and Zhejiang provinces, and in Taiwan."
