Herb id,MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,url
SMHB00002,SMMS00208,Hematemesis,C06.405.227.400|C23.550.414.788.400|C23.888.821.937.019,C0018926,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00348,Menses Abnormal,C23.550.568,C0025345,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00441,Skin Pruritus,C17.800.685|C23.888.885.625,C0033774,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00474,Abdominal Pain Aggravated,,C0549273,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00596,Subfertility,C12.294.365|C13.351.500.365,C0729353,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00607,Infertility,C12.294.365|C13.351.500.365,C0021359,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00634,Hypomenorrhea,C23.550.568,C0020624,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00718,Asthenia,C23.888.089,C0004093,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00759,Metrorrhagia,C13.351.500.852.691.622|C23.550.414.993.700,C0025874,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00793,Hemorrhage Of Pregnancy,,C0269596,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00849,Retrograde Menstruation,C23.550.568,C0025349,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00882,Typhoid Fever,C01.252.400.310.821.873,C0041466,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00883,Menorrhagia,C13.351.500.852.691.449|C23.550.568.875,C0025323,https://www.symmap.org/detail/SMHB00002
SMHB00002,SMMS00886,Menometrorrhagia,,C0232943,https://www.symmap.org/detail/SMHB00002
SMHB00003,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00011,Deglutitional Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751537,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00048,Stroke,C10.228.140.300.775|C14.907.253.855,C0038454,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00070,Presyncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0700200,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00083,"Sputums, Induced",A12.200.808,C3179346,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00158,Stokes-Adams Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751539,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00196,Narcosis,C10.597.606.358.800.500|C23.888.592.604.359.800.500,C0234447,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00217,Syncope Cough,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0234435,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00226,Hyperventilation Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751538,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00292,Syncope Exertional,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0235242,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00324,Stupor,C10.597.606.358.800.500|C23.888.592.604.359.800.500,C0085628,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00325,Syncope Cardiac,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751535,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00439,Drop Attack,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0259813,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00450,Coma,C10.597.606.358.800.200|C23.888.592.604.359.800.200,C0009421,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00452,Pseudocomas,C10.597.606.358.800.200|C23.888.592.604.359.800.200,C0860634,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00462,Anal Discomforts,,C0948484,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00465,Cva Nos Acute,C10.228.140.300.775|C14.907.253.855,C0751956,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00494,Syncope Postural,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0234437,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00507,Convulsions Neonatal,,C0159020,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00514,Syncopal Vertigo,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0339780,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00518,Abdomen Bloating,,C1291077,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00534,Sputum,A12.200.808,C0038056,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00584,Convulsive Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751536,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00588,Depressed Mood,,C0344315,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00614,Hemorrhage Postpartum,C13.703.420.725|C13.703.844.700|C23.550.414.993.850,C0032797,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00616,Carotid Sinus Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0221046,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00636,Syncope Micturition,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0340855,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00682,Sleep Disorder,C10.886|C23.888.592.796|F03.870,C0851578,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00718,Asthenia,C23.888.089,C0004093,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00776,Syncopal Episode,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751534,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00797,Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0039070,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00805,Situational Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0340854,https://www.symmap.org/detail/SMHB00003
SMHB00003,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00003
SMHB00004,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00007,Abdomen Distention,,C0000731,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00024,Right Flank Pain,C10.597.617.204|C23.888.592.612.386,C0423640,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00100,Mechanical Low Back Pain,C10.597.617.140.400|C23.888.592.612.107.400,C0423682,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00136,Flank Pain,C10.597.617.204|C23.888.592.612.386,C0016199,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00166,Recurrent Low Back Pain,C10.597.617.140.400|C23.888.592.612.107.400,C0751648,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00192,Abdominal Pain,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,C0000737,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00319,Numbness Localized,,C0235018,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00327,Emesis,C23.888.821.937,C0042963,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00459,Abdomen Discomfort,,C0232487,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00477,Lumbago,C10.597.617.140.400|C23.888.592.612.107.400,C0024031,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00506,Enterocele,C23.300.707,C0205792,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00519,Loin Pain,,C0235632,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00551,Postural Low Back Pain,C10.597.617.140.400|C23.888.592.612.107.400,C0577660,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00583,Hernia,C23.300.707,C0019270,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00741,Left Flank Pain,C10.597.617.204|C23.888.592.612.386,C0423641,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00800,Gagging,C23.888.821.414|F02.830.702.157|G10.261.338|G11.561.731.251,C0016927,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00004
SMHB00004,SMMS00814,Posterior Compartment Low Back Pain,C10.597.617.140.400|C23.888.592.612.107.400,C0423689,https://www.symmap.org/detail/SMHB00004
SMHB00005,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00189,Extremity Numbness,,C0239375,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00275,Vidian Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0042656,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00344,Perineal Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0423711,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00350,Iliohypogastric Nerve Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0423712,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00351,Stump Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0234249,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00402,Micturition Disorder,C12.777.934|C13.351.968.934,C0042035,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00504,Paroxysmal Nerve Pain,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0751373,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00653,Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0027796,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00758,Supraorbital Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0038870,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00826,Atypical Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0234247,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00836,Lower Extremity Pain Musculoskeletal,,C0023222,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00895,Ilioinguinal Neuralgia,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0751371,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00947,Nerve Pain,C10.597.617.682|C10.668.829.600|C23.888.592.612.664,C0751372,https://www.symmap.org/detail/SMHB00005
SMHB00005,SMMS00948,Poisoning By,C25.723,C0032343,https://www.symmap.org/detail/SMHB00005
SMHB00006,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00007,Abdomen Distention,,C0000731,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00021,Larynx,C08.360|C09.400,C0023051,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00054,Constipation,C23.888.821.150,C0009806,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00081,Trichophytosis,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,C0040938,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00098,Scabies,C03.858.211.480.708|C17.800.838.775.800,C0036262,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00110,Suppuration,C01.539.830|C23.550.470.756,C3203360,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00179,Tinea,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,C0040247,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00336,Ascites,C23.550.081,C0003962,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00372,Tinea Corporis,,C0040252,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00489,Sarcoptic Red Mange,C03.858.211.480.708|C17.800.838.775.800,C0024710,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00498,Pus,C01.539.830|C23.550.470.756,C0034161,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00570,Carbuncle,C01.252.410.868.820.270.200|C01.252.825.770.270.200|C01.539.800.720.770.270.200|C17.800.838.765.770.270.200,C0007078,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00617,Skin Ulcer(S),C17.800.893,C0037299,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00701,Defecation Pain,C23.888.821.150,C0237326,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00715,Colonic Inertia,C23.888.821.150,C1257861,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00719,Epidermophytosis,C01.539.800.200.720|C01.703.295.872|C17.800.838.208.883,C0014531,https://www.symmap.org/detail/SMHB00006
SMHB00006,SMMS00948,Poisoning By,C25.723,C0032343,https://www.symmap.org/detail/SMHB00006
SMHB00007,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00112,Rheumatism,C05.799|C17.300.775,C0035435,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00128,Polymenorrhea,C23.550.568,C0032519,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00192,Abdominal Pain,C10.597.617.044|C23.888.592.612.054|C23.888.821.030,C0000737,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00288,Yang Deficiency,C23.550.945,C0085258,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00348,Menses Abnormal,C23.550.568,C0025345,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00398,Arthritic Pains,,C0857177,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00596,Subfertility,C12.294.365|C13.351.500.365,C0729353,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00607,Infertility,C12.294.365|C13.351.500.365,C0021359,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00634,Hypomenorrhea,C23.550.568,C0020624,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00673,Nervousness,F01.470.132,C0027769,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00720,Ejaculation,G08.686.784.084,C0013746,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00812,Hypervigilance,F01.470.132,C0235013,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00849,Retrograde Menstruation,C23.550.568,C0025349,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00875,Anxiety,F01.470.132,C0003467,https://www.symmap.org/detail/SMHB00007
SMHB00007,SMMS00903,Atrophy,C23.300.070,C0333641,https://www.symmap.org/detail/SMHB00007
SMHB00008,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00060,Physical Suffering,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751408,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00089,Vaginal Discharge White,C13.351.500.894.700.500,C0023533,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00112,Rheumatism,C05.799|C17.300.775,C0035435,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00174,Dysuria,C23.888.942.343.274,C0013428,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00222,Vagina,C13.351.500.894,C0042251,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00237,Hyperalgia,C10.597.751.791.400|C23.888.592.763.770.400,C0020429,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00337,Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0030193,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00398,Arthritic Pains,,C0857177,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00412,Burning Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234230,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00431,Splitting Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458257,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00569,Migratory Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0751407,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00570,Carbuncle,C01.252.410.868.820.270.200|C01.252.825.770.270.200|C01.539.800.720.770.270.200|C17.800.838.765.770.270.200,C0007078,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00627,Ache,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234238,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00804,Pain Radiating,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0234254,https://www.symmap.org/detail/SMHB00008
SMHB00008,SMMS00806,Crushing Pain,C10.597.617|C23.888.592.612|F02.830.816.444|G11.561.790.444,C0458259,https://www.symmap.org/detail/SMHB00008
SMHB00009,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00007,Abdomen Distention,,C0000731,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00243,Febrile Illness Acute,,C0743842,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00250,Diarrhea,C23.888.821.214,C0011991,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00435,Stool Loose,,C2129214,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00712,Dilation,C23.300.325,C0012359,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00718,Asthenia,C23.888.089,C0004093,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00863,Chest Symptom Heaviness,,C0742339,https://www.symmap.org/detail/SMHB00009
SMHB00009,SMMS00916,Decreased Appetite,,C0232462,https://www.symmap.org/detail/SMHB00009
SMHB00010,﻿MM symptom id,MM symptom name,MeSH tree numbers,UMLS id,https://www.symmap.org/detail/SMHB00010
SMHB00010,SMMS00011,Deglutitional Syncope,C10.597.606.358.800.600|C23.888.592.604.359.800.600,C0751537,https://www.symmap.org/detail/SMHB00010
SMHB00010,SMMS00012,Sharp Headache,C10.597.617.470|C23.888.592.612.441,C0751190,https://www.symmap.org/detail/SMHB00010
